Iteration,Rank,Fitness,Chromosome
19999,0,0.926312,"[['w', 'w', 'rx(1.186580967520343)'], ['h', 'h', 'h'], ['crx(2,0.7757088303631914)', 'crx(2,1.5731779388832459)', '-'], ['crx(1,1.571155053944822)', 't', 'w']]"
19999,1,0.926309,"[['w', 'w', 'rx(1.1796894250567276)'], ['h', 'h', 'h'], ['crx(2,0.7863119175793944)', 'crx(2,1.5655105345037166)', '-'], ['crx(1,1.5508812811570345)', 't', 'w']]"
19999,2,0.926280,"[['s', 'sdg', 'rx(1.188207108993702)'], ['h', 'h', 'h'], ['crx(2,0.7927700572255907)', 'crx(2,1.5656837565171837)', '-'], ['crx(1,1.549689158682307)', 't', 'w']]"
19999,3,0.926276,"[['t', 'w', 'rx(1.1753873941535793)'], ['h', 'h', 'h'], ['crx(2,0.7878294224105875)', 'crx(2,1.5690047568197993)', '-'], ['crx(1,1.5395929135189947)', 't', 'w']]"
19999,4,0.926275,"[['w', 'tdg', 'rx(1.1809916867683348)'], ['h', 'h', 'h'], ['crx(2,0.8056050089693849)', 'crx(2,1.547839560396559)', '-'], ['crx(1,1.578771828186902)', 't', 'w']]"
19999,5,0.926271,"[['w', 'w', 'rx(1.1703756833425498)'], ['h', 'h', 'h'], ['crx(2,0.8082943396409744)', 'crx(2,1.5890272934725438)', '-'], ['crx(1,1.5698189751086618)', 't', 'w']]"
19999,6,0.926267,"[['w', 'sdg', 'rx(1.1719244146848582)'], ['h', 'h', 'h'], ['crx(2,0.7892207092499913)', 'crx(2,1.5574334029525552)', '-'], ['crx(1,1.5992485693277212)', 't', 'w']]"
19999,7,0.926263,"[['t', 'w', 'rx(1.1789580400148991)'], ['h', 'h', 'h'], ['crx(2,0.805048742278087)', 'crx(2,1.581448688798322)', '-'], ['crx(1,1.543790097614451)', 't', 'w']]"
19999,8,0.926263,"[['t', 'w', 'rx(1.1753598304791502)'], ['h', 'h', 'h'], ['crx(2,0.8154461964200151)', 'crx(2,1.5777479907776177)', '-'], ['crx(1,1.5549155671995085)', 't', 'w']]"
19999,9,0.926262,"[['w', 'w', 'rx(1.1755470462390818)'], ['h', 'h', 'h'], ['crx(2,0.7557984965135017)', 'crx(2,1.5738114905578346)', '-'], ['crx(1,1.5893712292770434)', 't', 'w']]"
