Rank,Fitness,Chromosome
0,0.924859,"[['cp(1,0.5044268156536219)', '-', 'crx(1,1.5742522181364336)'], ['-', 'h', 'crx(0,0.7567090068925599)'], ['crz(1,1.5660670509997503)', '-', 'w'], ['h', 'rz(0.7811341686051143)', 'h']]"
1,0.924423,"[['-', 'cz(0)', 'crx(1,1.6841808639852496)'], ['-', 'h', 'crx(0,0.7919190937096963)'], ['crz(1,1.646379804664302)', '-', 'w'], ['h', 'rz(0.7751109069093651)', 'h']]"
2,0.923947,"[['-', 'cz(0)', 'crx(1,1.6741817664248981)'], ['-', 'h', 'crx(0,0.8103936311560854)'], ['crz(1,1.6801101752589713)', '-', 'w'], ['h', 'rz(0.7642188863631721)', 'h']]"
3,0.923904,"[['-', 'crz(0,0.6070935897403472)', 'crx(1,1.559415543969902)'], ['-', 'h', 'crx(0,0.7102121912461612)'], ['crz(1,1.5676228480157635)', '-', 'w'], ['h', 'rz(0.8194609815947859)', 'h']]"
4,0.923208,"[['-', 'crz(0,0.7676571721198525)', 'crx(1,1.4571081790383162)'], ['-', 'h', 'crx(0,0.8269689014030429)'], ['crz(1,1.5363032527033016)', '-', 'w'], ['h', 'rz(0.8322671506912592)', 'h']]"
5,0.922799,"[['sdg', '-', 'crx(1,1.5671781437212453)'], ['-', 'h', 'crx(0,0.7740581440263958)'], ['crz(1,1.5566113330668223)', '-', 'w'], ['h', 'rz(0.7812124350685078)', 'h']]"
6,0.922799,"[['sdg', '-', 'crx(1,1.5615116761423444)'], ['-', 'h', 'crx(0,0.785146778230896)'], ['crz(1,1.5842372854124207)', '-', 'w'], ['h', 'rz(0.7937990374413789)', 'h']]"
7,0.922787,"[['t', '-', 'crx(1,1.5630907053056289)'], ['-', 'h', 'crx(0,0.7908665043371218)'], ['crz(1,1.543498330221034)', '-', 'w'], ['h', 'rz(0.7864247891317088)', 'h']]"
8,0.922782,"[['z', '-', 'crx(1,1.580166296264162)'], ['-', 'h', 'crx(0,0.7867172812484506)'], ['crz(1,1.5479695659551076)', '-', 'w'], ['h', 'rz(0.7783925141324498)', 'h']]"
9,0.922778,"[['t', '-', 'crx(1,1.595047224494915)'], ['-', 'h', 'crx(0,0.7709190996216595)'], ['crz(1,1.5673654175938645)', '-', 'w'], ['h', 'rz(0.7902527338086446)', 'h']]"
