Rank,Fitness,Chromosome
0,0.917651,"[['-', '-', 'crx(1,1.567199811856654)'], ['h', 'ry(0.7787843496806044)', '-'], ['rxx(1,1.5925384212866533)', '-', 'h'], ['crx(2,0.827996385732076)', 't', '-'], ['swap(1)', '-', 'rz(0.39177903383207446)']]"
1,0.917633,"[['-', '-', 'crx(1,1.579659328203038)'], ['h', 'ry(0.7700976043607841)', '-'], ['rxx(1,1.5819346373524958)', '-', 'h'], ['crx(2,0.8039607086619739)', 't', '-'], ['swap(1)', '-', 'rz(0.40878638180812715)']]"
2,0.917608,"[['-', '-', 'crx(1,1.5991853118961876)'], ['h', 'ry(0.779032710020432)', '-'], ['rxx(1,1.589120133210732)', '-', 'h'], ['crx(2,0.777712863402233)', 't', '-'], ['w', '-', 'rz(0.40107493081173745)']]"
3,0.917561,"[['-', '-', 'crx(1,1.5347000457945292)'], ['h', 'ry(0.7674248376559614)', '-'], ['rxx(1,1.6001718034659398)', '-', 'h'], ['crx(2,0.7874911892901905)', 't', '-'], ['w', '-', 'rz(0.41743818653141335)']]"
4,0.917539,"[['-', '-', 'crx(1,1.6013389343924325)'], ['h', 'ry(0.8012247879010513)', '-'], ['rxx(1,1.5922845442473965)', '-', 'h'], ['crx(2,0.7398261296078481)', 't', '-'], ['w', '-', 'rz(0.37862905732342533)']]"
5,0.917539,"[['-', '-', 'crx(1,1.571834445728953)'], ['h', 'ry(0.783605413809887)', '-'], ['rxx(1,1.5589660327805377)', '-', 'h'], ['crx(2,0.6213430587212767)', 'rz(0.7502976660799868)', '-'], ['w', '-', 'rz(0.4062779481040267)']]"
6,0.917516,"[['-', '-', 'crx(1,1.5231106485416779)'], ['h', 'ry(0.7834291583439386)', '-'], ['rxx(1,1.5732088051721955)', '-', 'h'], ['crx(2,0.830699956427785)', 't', '-'], ['swap(1)', '-', 'rz(0.43208731302540626)']]"
7,0.917504,"[['-', '-', 'crx(1,1.5549002301032016)'], ['h', 'ry(0.7646492188430394)', '-'], ['rxx(1,1.5719844702127617)', '-', 'h'], ['crx(2,0.7830855496444993)', 't', '-'], ['w', '-', 'rz(0.43039415431380185)']]"
8,0.917503,"[['-', '-', 'crx(1,1.5650243048646313)'], ['h', 'ry(0.8084373396117805)', '-'], ['rxx(1,1.5988848039847872)', '-', 'h'], ['crx(2,0.7678650145314805)', 't', '-'], ['w', '-', 'rz(0.37594143963722637)']]"
9,0.917499,"[['-', '-', 'crx(1,1.592950416024752)'], ['h', 'ry(0.8048301281898129)', '-'], ['rxx(1,1.5375428469666883)', '-', 'h'], ['crx(2,0.8026878827045877)', 't', '-'], ['swap(1)', '-', 'rz(0.3986072130507632)']]"
