Rank,Fitness,Chromosome
0,0.931508,"[['-', '-', 'crx(1,1.5879128240720992)'], ['-', 'crx(0,1.5682658339785964)', 'crx(0,0.5922533125002412)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.05117175513983822)'], ['crx(2,0.12765231486094739)', 'w', '-']]"
1,0.931045,"[['-', '-', 'crx(1,1.6858285726762838)'], ['-', 'crx(0,1.5274271523333849)', 'crx(0,0.6533294218545255)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.15595080278521375)', 'w', '-']]"
2,0.930019,"[['-', '-', 'crx(1,1.4925642351308879)'], ['-', 'crx(0,1.588463372483595)', 'crx(0,0.7099319421904858)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.14523499542099028)', 'w', '-']]"
3,0.929510,"[['-', '-', 'crx(1,1.6374227095361618)'], ['-', 'crx(0,1.571143622891764)', 'crx(0,0.583546648056686)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.05637443976620412)', 'w', '-']]"
4,0.929208,"[['-', '-', 'crx(1,1.6371103202103767)'], ['-', 'crx(0,1.5444332242651164)', 'crx(0,0.8358029394896901)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.12182307545272822)', 'w', '-']]"
5,0.928513,"[['-', '-', 'crx(1,1.4902036224785835)'], ['-', 'crx(0,1.522571661771945)', 'crx(0,0.6546408801567546)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.20116013594288862)', 'w', '-']]"
6,0.928457,"[['-', '-', 'crx(1,1.6932487391011835)'], ['-', 'crx(0,1.525434027747183)', 'crx(0,0.8030703229081947)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.13446650750240347)', 'w', '-']]"
7,0.927683,"[['-', '-', 'crx(1,1.5834840579679632)'], ['-', 'crx(0,1.7279414314764958)', 'crx(0,0.8884328790304947)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.007706573557697202)', 'w', '-']]"
8,0.927414,"[['-', '-', 'crx(1,1.5919092743442)'], ['-', 'crx(0,1.624902430770618)', 'crx(0,0.5544071639470538)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.0)'], ['crx(2,0.0600100156163067)', 'w', '-']]"
9,0.925773,"[['-', '-', 'crx(1,1.4162457434769242)'], ['-', 'crx(0,1.6063270898498019)', 'crx(0,0.8058495163580041)'], ['-', 'h', 'h'], ['h', '-', 'rz(0.03859895571334116)'], ['crx(2,0.2582947248724506)', 'w', '-']]"
