Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
143,0.646290,0.321129,0.332463,0.131057
144,0.646290,0.321059,0.332463,0.130662
145,0.646290,0.311797,0.339872,0.128558
146,0.646290,0.320180,0.339872,0.130985
147,0.661923,0.332310,0.339872,0.130737
148,0.667356,0.314181,0.339872,0.131284
149,0.667356,0.317041,0.339872,0.128027
150,0.667356,0.314079,0.339872,0.133572
151,0.667356,0.325488,0.339872,0.129901
152,0.667356,0.314976,0.344527,0.128053
153,0.667356,0.322150,0.344527,0.129794
154,0.667356,0.330249,0.344527,0.125699
155,0.667356,0.316189,0.344527,0.126824
156,0.667356,0.324677,0.344527,0.130223
157,0.667356,0.314377,0.344719,0.132874
158,0.667356,0.321890,0.344719,0.126755
159,0.667356,0.313787,0.344719,0.129701
160,0.667356,0.314758,0.344719,0.125948
161,0.667356,0.338944,0.344719,0.129815
162,0.667356,0.331658,0.344719,0.127532
163,0.698752,0.339403,0.344719,0.130262
164,0.698752,0.328025,0.344719,0.131527
165,0.698752,0.330795,0.344719,0.127459
166,0.698752,0.340435,0.344719,0.133061
167,0.698752,0.327407,0.344719,0.133804
168,0.698752,0.347684,0.344719,0.131604
169,0.698752,0.320895,0.344719,0.126326
170,0.698752,0.340585,0.344719,0.127664
171,0.698752,0.344406,0.344719,0.126587
172,0.698752,0.342378,0.344719,0.126914
173,0.698752,0.334659,0.344719,0.126247
174,0.743022,0.338165,0.344719,0.127685
175,0.743022,0.329922,0.344719,0.124190
176,0.743022,0.339919,0.344719,0.126751
177,0.743022,0.352233,0.344719,0.127912
178,0.743022,0.329192,0.344719,0.128067
179,0.743022,0.336766,0.344719,0.130550
180,0.743022,0.343508,0.344719,0.125945
181,0.743022,0.367158,0.344719,0.128318
182,0.743022,0.377315,0.344719,0.129469
183,0.743022,0.329115,0.344719,0.127660
184,0.743022,0.335163,0.344719,0.127634
185,0.743022,0.359380,0.344719,0.125407
186,0.743022,0.376159,0.344719,0.127875
187,0.743022,0.360070,0.344719,0.129127
188,0.743022,0.349711,0.344719,0.129642
189,0.743022,0.356165,0.344719,0.127322
190,0.743022,0.346730,0.344719,0.129770
191,0.743022,0.358875,0.344719,0.129069
192,0.743022,0.360952,0.344719,0.125091
193,0.743022,0.368669,0.344719,0.131552
194,0.743022,0.345597,0.344719,0.126502
195,0.743022,0.350160,0.346015,0.128202
196,0.743022,0.357942,0.346015,0.130339
197,0.743022,0.384626,0.346015,0.132643
198,0.743022,0.379738,0.346015,0.124801
199,0.743836,0.399091,0.346015,0.126581
200,0.743836,0.373309,0.346015,0.129755
201,0.743836,0.391520,0.346015,0.126914
202,0.743836,0.383894,0.346015,0.131319
203,0.743836,0.367563,0.346015,0.132495
204,0.743836,0.377628,0.346015,0.128127
205,0.743836,0.359842,0.346015,0.130602
206,0.743836,0.374536,0.346015,0.132820
207,0.743836,0.365790,0.346015,0.133073
208,0.743836,0.387053,0.346178,0.134032
209,0.743836,0.366814,0.346178,0.130884
210,0.743836,0.402650,0.346178,0.130405
211,0.743836,0.398320,0.346178,0.127484
212,0.743836,0.400827,0.346178,0.128345
213,0.743836,0.380423,0.346178,0.129561
214,0.743836,0.365821,0.346178,0.130511
215,0.743836,0.379264,0.346178,0.128118
216,0.784353,0.388952,0.346178,0.128911
217,0.784353,0.391153,0.346178,0.126635
218,0.784353,0.393189,0.355423,0.130591
219,0.784353,0.373040,0.355465,0.127425
220,0.784353,0.387244,0.355465,0.128176
221,0.788970,0.384325,0.356659,0.129056
222,0.788970,0.370776,0.356659,0.130909
223,0.788970,0.400958,0.356659,0.126881
224,0.788970,0.379569,0.356659,0.126482
225,0.788970,0.369606,0.356659,0.129059
226,0.788970,0.380677,0.356659,0.129729
227,0.788970,0.400321,0.356659,0.130856
228,0.788970,0.368784,0.356659,0.125423
229,0.788970,0.369558,0.356659,0.130559
230,0.788970,0.407224,0.358633,0.128152
231,0.788970,0.390072,0.358633,0.126832
232,0.788970,0.385878,0.358633,0.126843
233,0.788970,0.392497,0.358633,0.127874
234,0.788970,0.395699,0.358633,0.127046
235,0.788970,0.404589,0.358633,0.126407
236,0.788970,0.405821,0.358633,0.122930
237,0.788970,0.374570,0.358633,0.129006
238,0.788970,0.412048,0.358633,0.126163
239,0.788970,0.410207,0.358633,0.129614
240,0.788970,0.387235,0.358633,0.124168
241,0.788970,0.391305,0.358633,0.132037
242,0.795376,0.417622,0.358633,0.127459
243,0.795376,0.409406,0.358633,0.131223
244,0.795376,0.411519,0.358633,0.129159
245,0.795376,0.399467,0.358633,0.127550
246,0.795376,0.397650,0.358633,0.129324
247,0.795376,0.376448,0.358633,0.129033
248,0.795376,0.391510,0.358633,0.128758
249,0.795376,0.381356,0.358633,0.128254
250,0.795376,0.431244,0.358633,0.128320
251,0.795376,0.433656,0.358633,0.126068
252,0.795376,0.399329,0.358633,0.128840
253,0.795376,0.391072,0.358633,0.129659
254,0.806435,0.398842,0.358633,0.129133
255,0.806435,0.427684,0.358633,0.128946
256,0.806435,0.400395,0.358633,0.127910
257,0.806435,0.406830,0.358633,0.126360
258,0.806435,0.413981,0.358633,0.126858
259,0.806435,0.419070,0.358633,0.130729
260,0.806435,0.401083,0.358633,0.129185
261,0.806435,0.370336,0.358633,0.124479
262,0.806435,0.400257,0.358633,0.126427
263,0.806435,0.396525,0.358633,0.126761
264,0.806435,0.417269,0.358633,0.129380
265,0.806435,0.398838,0.358633,0.125898
266,0.806435,0.406764,0.358633,0.131312
267,0.806435,0.409424,0.358633,0.129089
268,0.806435,0.401083,0.358633,0.131292
269,0.806435,0.419099,0.358633,0.131137
270,0.806435,0.418459,0.358633,0.130163
271,0.806435,0.405346,0.358633,0.132980
272,0.806435,0.392080,0.358633,0.126014
273,0.806435,0.397745,0.358633,0.124435
274,0.806435,0.442069,0.358633,0.128414
275,0.817479,0.418417,0.358633,0.125992
276,0.817479,0.397863,0.358633,0.127815
277,0.817479,0.406535,0.358633,0.128292
278,0.817479,0.415333,0.358633,0.131042
279,0.817479,0.418697,0.358633,0.130282
280,0.817479,0.404761,0.358633,0.132512
281,0.817479,0.412144,0.358633,0.130090
282,0.817479,0.414488,0.358633,0.129904
283,0.817479,0.402786,0.358633,0.130510
284,0.817479,0.413270,0.358633,0.128083
285,0.817479,0.408197,0.358633,0.129060
286,0.817479,0.417660,0.358633,0.126570
287,0.817479,0.418815,0.358633,0.127947
288,0.817479,0.400333,0.358633,0.131484
289,0.817479,0.397412,0.358633,0.126539
290,0.817479,0.388712,0.358633,0.129542
291,0.817479,0.407581,0.358633,0.128647
292,0.817479,0.430309,0.358633,0.130029
293,0.817479,0.394830,0.358633,0.131053
294,0.817479,0.427778,0.358998,0.130946
295,0.817479,0.400884,0.358998,0.130785
296,0.817479,0.412597,0.358998,0.127966
297,0.817479,0.428533,0.358998,0.129433
298,0.817479,0.440794,0.358998,0.130099
299,0.817479,0.416894,0.358998,0.134626
300,0.817479,0.392942,0.358998,0.131453
301,0.817479,0.409754,0.358998,0.126882
302,0.817479,0.398451,0.358998,0.129993
303,0.817479,0.423104,0.358998,0.129030
304,0.817479,0.414176,0.358998,0.127822
305,0.817479,0.430520,0.358998,0.130295
306,0.817479,0.417077,0.358998,0.130536
307,0.817479,0.410011,0.358998,0.130547
308,0.817479,0.406378,0.358998,0.127383
309,0.817479,0.420424,0.358998,0.126316
310,0.817479,0.415592,0.358998,0.129329
311,0.820509,0.404668,0.358998,0.128158
312,0.823669,0.394708,0.358998,0.131104
313,0.823669,0.398849,0.358998,0.129453
314,0.823669,0.404614,0.358998,0.128892
315,0.823669,0.403562,0.358998,0.128205
316,0.823669,0.419939,0.358998,0.128821
317,0.823669,0.409433,0.358998,0.127036
318,0.823669,0.402362,0.358998,0.128417
319,0.823669,0.423354,0.358998,0.124995
320,0.823669,0.430022,0.358998,0.125944
321,0.823669,0.395976,0.358998,0.129940
322,0.823669,0.437293,0.358998,0.125982
323,0.827365,0.413538,0.358998,0.125522
324,0.827365,0.434544,0.358998,0.131834
325,0.827365,0.425990,0.358998,0.129375
326,0.844247,0.445809,0.358998,0.127496
327,0.844247,0.454365,0.361927,0.129719
328,0.844247,0.435345,0.361927,0.130851
329,0.844247,0.423207,0.361927,0.131390
330,0.844247,0.423430,0.361927,0.128888
331,0.844247,0.403753,0.361927,0.131370
332,0.844247,0.449056,0.361927,0.132261
333,0.844247,0.448740,0.361927,0.130533
334,0.844247,0.445567,0.361927,0.128783
335,0.844247,0.449987,0.361927,0.131250
336,0.844247,0.431105,0.361927,0.128176
337,0.844247,0.422677,0.361927,0.125800
338,0.844247,0.430279,0.361927,0.130234
339,0.844949,0.426607,0.361927,0.127935
340,0.844949,0.436576,0.361927,0.129712
341,0.844949,0.432571,0.361927,0.129916
342,0.844949,0.470626,0.361927,0.130033
