Rank,Fitness,Chromosome
0,0.945917,"[['w', 'rz(0.3997482030683599)', 'crx(1,1.5457253161650393)'], ['w', 'h', 'rx(0.42454266434676236)'], ['h', 'w', 'h'], ['crx(2,0.7914405816077155)', 't', '-'], ['crx(1,1.6017050211772905)', '-', 'ry(0.004403799802186574)']]"
1,0.945871,"[['w', 's', 'crx(1,1.5827791973456906)'], ['t', 'h', 'rx(0.35896264343428175)'], ['h', 'w', 'h'], ['crx(2,0.811400538020205)', 't', '-'], ['crx(1,1.5707210752357557)', '-', 'ry(0.0036604294308225063)']]"
2,0.945864,"[['w', 's', 'crx(1,1.6091283987862812)'], ['t', 'h', 'rx(0.3778759596782276)'], ['h', 'w', 'h'], ['crx(2,0.7560897795034857)', 't', '-'], ['crx(1,1.5893576026945582)', '-', 'ry(0.025475301217199604)']]"
3,0.945861,"[['w', 's', 'crx(1,1.5650408551495694)'], ['t', 'h', 'rx(0.3999436898606783)'], ['h', 'w', 'h'], ['crx(2,0.842672955571472)', 't', '-'], ['crx(1,1.594940630054542)', '-', 'ry(0.00825736619374582)']]"
4,0.945854,"[['w', 's', 'crx(1,1.570939069560948)'], ['z', 'h', 'rx(0.39600122529839493)'], ['h', 'w', 'h'], ['crx(2,0.7518290395153716)', 't', '-'], ['crx(1,1.5355343569566207)', '-', 'ry(0.03001402793463505)']]"
5,0.945821,"[['w', 's', 'crx(1,1.6257000408051911)'], ['t', 'h', 'rx(0.3640008683159352)'], ['h', 'w', 'h'], ['crx(2,0.7735776982036019)', 't', '-'], ['crx(1,1.5660349788410266)', '-', 'ry(0.028210513018143053)']]"
6,0.945808,"[['w', 'rz(0.4076575326852829)', 'crx(1,1.5746106080510465)'], ['w', 'h', 'rx(0.3878792949713889)'], ['h', 'w', 'h'], ['crx(2,0.8302567390387892)', 't', '-'], ['crx(1,1.623324232121605)', '-', 'ry(0.009789254791599242)'], ['w', 'w', 'w']]"
7,0.945787,"[['w', 's', 'crx(1,1.5426437230490821)'], ['w', 'h', 'rx(0.41041208958133607)'], ['h', 'w', 'h'], ['crx(2,0.7196260940800022)', 't', '-'], ['crx(1,1.5568540597833718)', '-', 'ry(0.0014103187868979867)']]"
8,0.945763,"[['w', 's', 'crx(1,1.589449241872339)'], ['z', 'h', 'rx(0.37473045472670446)'], ['h', 'w', 'h'], ['crx(2,0.799535324128097)', 't', '-'], ['crx(1,1.572398324965598)', '-', 'ry(0.04951572669173869)']]"
9,0.945752,"[['w', 's', 'crx(1,1.5744900725786861)'], ['w', 'h', 'rx(0.40722717811305703)'], ['h', 'w', 'h'], ['crx(2,0.8337216601775314)', 't', '-'], ['crx(1,1.5241749741707058)', '-', 'ry(0.013865946680559404)']]"
