Rank,Fitness,Chromosome
0,0.959391,"[['rz(0.6456469483477011)', '-', 'crx(1,1.5251799651432694)'], ['-', 'crx(0,1.619221154288426)', 'h'], ['h', 'h', 'rz(0.4757043333116584)'], ['crx(2,0.7343466722341753)', 'w', '-'], ['crx(2,0.0670972520371736)', 'w', '-']]"
1,0.957621,"[['rz(0.11408458416884423)', '-', 'crx(1,1.6870803908683891)'], ['-', 'crx(0,1.5210654160704289)', 'h'], ['h', 'h', 'rz(0.4179903786955589)'], ['crx(2,0.6316287019515068)', 'w', '-'], ['crx(2,0.2253982771682965)', 'ry(0.0)', '-']]"
2,0.957286,"[['s', '-', 'crx(1,1.703586000633361)'], ['-', 'crx(0,1.6626260242822903)', 'h'], ['h', 'h', 'rz(0.29901929799065424)'], ['crx(2,0.715255612457999)', 'w', '-'], ['crx(2,0.20983322875453794)', 'ry(0.0)', '-']]"
3,0.954689,"[['rz(0.9461683683407169)', '-', 'crx(1,1.4907455532020033)'], ['-', 'crx(0,1.5961781946516018)', 'h'], ['h', 'h', 'rz(0.35240373412933107)'], ['crx(2,0.5936953302386957)', 'w', '-'], ['crx(2,0.20934818453698678)', 'ry(0.1330802824562708)', '-']]"
4,0.953203,"[['rz(0.29454119667140927)', '-', 'crx(1,1.4344178598077402)'], ['-', 'crx(0,1.588773923450149)', 'h'], ['h', 'h', 'rz(0.48356579035875263)'], ['crx(2,0.8295527637720411)', 'w', '-'], ['crx(2,0.2794070401747951)', 'ry(0.0)', '-']]"
5,0.953189,"[['s', '-', 'crx(1,1.4864462593662853)'], ['-', 'crx(0,1.5765945425569825)', 'h'], ['h', 'h', 'rz(0.32231318414456644)'], ['crx(2,0.6745645982214278)', 'w', '-'], ['crx(2,0.30139468267301406)', 'ry(0.009931283815225345)', '-']]"
6,0.952734,"[['rz(0.5000666881755716)', '-', 'crx(1,1.717481187144088)'], ['-', 'crx(0,1.5158787972783825)', 'h'], ['h', 'h', 'rz(0.47481672188500773)'], ['crx(2,0.7954611266870161)', 'w', '-'], ['crx(2,0.09015055821675155)', 'ry(0.0)', '-']]"
7,0.951751,"[['rz(0.5098660593843963)', '-', 'crx(1,1.581517650675233)'], ['-', 'crx(0,1.4877119343171803)', 'h'], ['h', 'h', 'rz(0.4122697430623358)'], ['crx(2,0.740084282158963)', 'w', '-'], ['crx(2,0.03957902507241369)', 'ry(0.22687984220606322)', '-']]"
8,0.951742,"[['rz(0.4589401901243225)', '-', 'crx(1,1.4652789995766833)'], ['-', 'crx(0,1.4160032227343418)', 'h'], ['h', 'h', 'rz(0.33675266943037147)'], ['crx(2,0.5852274822138812)', 'w', '-'], ['crx(2,0.21944905232850437)', 'ry(0.07968189284415686)', '-']]"
9,0.951648,"[['rz(0.9214764354239919)', '-', 'crx(1,1.5909138104804759)'], ['-', 'crx(0,1.609858926049719)', 'h'], ['h', 'h', 'rz(0.37463298472293205)'], ['crx(2,0.8267145507773777)', 'w', '-'], ['crx(2,0.28139124342940436)', 'ry(0.07933885067587892)', '-']]"
