Rank,Fitness,Chromosome
0,0.951493,"[['s', '-', 'crx(1,1.647673420495148)'], ['-', 'crx(0,1.6636339551853165)', 'h'], ['h', 'w', 'rz(0.37393472110859627)'], ['crx(2,0.6327294270990719)', 'h', '-'], ['crx(2,0.513634848594267)', 'w', '-']]"
1,0.950649,"[['w', 'z', 'crx(1,1.5809380427033033)'], ['-', 'crx(0,1.5288549627259782)', 'h'], ['h', 'w', 'rz(0.5889344230727525)'], ['crx(2,0.35607936382256217)', 'h', '-'], ['crx(2,0.4868471545308741)', 'w', '-']]"
2,0.949833,"[['sdg', '-', 'crx(1,1.574805825330277)'], ['-', 'crx(0,1.5337139528447647)', 'h'], ['h', 'w', 'rz(0.28680214869706133)'], ['crx(2,0.807609150775401)', 'h', '-'], ['crx(2,0.34800114670756854)', 'w', '-']]"
3,0.949585,"[['sdg', '-', 'crx(1,1.6388360008644056)'], ['-', 'crx(0,1.7534311856849571)', 'h'], ['h', 'w', 'rz(0.21938533977809815)'], ['crx(2,0.819740101076842)', 'h', '-'], ['crx(2,0.16132680133055546)', 'w', '-']]"
4,0.947900,"[['t', 'z', 'crx(1,1.5878096960434218)'], ['-', 'crx(0,1.5705258851164996)', 'h'], ['h', 'tdg', 'rz(0.3930567351530569)'], ['crx(2,0.7654026886980564)', 'h', '-'], ['swap(2)', 'rx(0.797258984740368)', '-']]"
5,0.947772,"[['t', 'z', 'crx(1,1.5411994448595616)'], ['-', 'crx(0,1.570711094691884)', 'h'], ['h', 'tdg', 'rz(0.429961911648247)'], ['crx(2,0.7628252857460301)', 'h', '-'], ['swap(2)', 'rx(0.791163911011762)', '-']]"
6,0.947550,"[['s', 'z', 'crx(1,1.7039050721352766)'], ['-', 'crx(0,1.746840705121036)', 'h'], ['h', 'w', 'rz(0.475738960680311)'], ['crx(2,0.6346704080002544)', 'h', '-'], ['crx(2,0.4381795733615589)', 'w', '-']]"
7,0.947540,"[['t', 'z', 'crx(1,1.6041169274157918)'], ['-', 'crx(0,1.5535726554580656)', 'h'], ['h', 'tdg', 'rz(0.3966356255857234)'], ['crx(2,0.7459366353224076)', 'h', '-'], ['w', 'rx(0.7501630990706308)', 'w']]"
8,0.947305,"[['t', 'z', 'crx(1,1.5983013596920206)'], ['-', 'crx(0,1.5738123279728766)', 'h'], ['h', 'tdg', 'rz(0.35690626739261133)'], ['crx(2,0.8235917330121654)', 'h', '-'], ['swap(2)', 'rx(0.8457250829178646)', '-']]"
9,0.947095,"[['t', 'z', 'crx(1,1.5120761952135784)'], ['-', 'crx(0,1.5325133325635283)', 'h'], ['h', 'tdg', 'rz(0.4606812549934677)'], ['crx(2,0.8253675980833828)', 'h', '-'], ['swap(2)', 'rx(0.8092005912048595)', '-']]"
