Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.349471,0.129551,0.197896,0.131390
1,0.349471,0.151000,0.225475,0.133322
2,0.349471,0.157471,0.234002,0.129086
3,0.422528,0.158311,0.237562,0.132002
4,0.422528,0.166562,0.246800,0.126437
5,0.429226,0.180966,0.246800,0.128012
6,0.429226,0.175398,0.247743,0.130842
7,0.429226,0.179105,0.247784,0.126961
8,0.429226,0.195076,0.250297,0.127065
9,0.429226,0.193514,0.250297,0.129980
10,0.429226,0.205798,0.252488,0.128450
11,0.429226,0.210166,0.252488,0.129256
12,0.429226,0.205375,0.256483,0.128620
13,0.429226,0.208487,0.256856,0.127968
14,0.429226,0.212420,0.262383,0.125558
15,0.429226,0.200958,0.265508,0.131147
16,0.429226,0.217507,0.267068,0.131107
17,0.429226,0.221271,0.267068,0.126027
18,0.429226,0.211577,0.267068,0.128568
19,0.429226,0.216392,0.267106,0.131752
20,0.429226,0.218054,0.268879,0.128641
21,0.429226,0.212315,0.268884,0.129409
22,0.429226,0.212702,0.268884,0.124960
23,0.429226,0.216066,0.268884,0.125105
24,0.429226,0.217825,0.268884,0.128219
25,0.429226,0.230298,0.268884,0.128220
26,0.429226,0.229166,0.268884,0.124906
27,0.444739,0.231512,0.268884,0.129295
28,0.444739,0.233576,0.268884,0.129321
29,0.444739,0.238093,0.268884,0.128945
30,0.444739,0.227721,0.268884,0.127430
31,0.444739,0.236945,0.269072,0.125648
32,0.444739,0.225134,0.269072,0.132031
33,0.444739,0.239302,0.269072,0.128340
34,0.589642,0.250512,0.272142,0.128722
35,0.589642,0.251541,0.272142,0.126252
36,0.589642,0.248303,0.272142,0.128068
37,0.670830,0.262935,0.272142,0.133520
38,0.670830,0.256927,0.275332,0.127911
39,0.670830,0.252417,0.275332,0.128203
40,0.670830,0.259474,0.275332,0.123885
41,0.670830,0.278979,0.276609,0.127913
42,0.670830,0.273827,0.280024,0.132109
43,0.670830,0.281609,0.281014,0.130203
44,0.670830,0.274875,0.281014,0.131673
45,0.670830,0.275823,0.285559,0.127961
46,0.670830,0.283071,0.285559,0.128197
47,0.670830,0.277499,0.285559,0.126553
48,0.670830,0.287956,0.294871,0.131126
49,0.670830,0.290320,0.297367,0.127563
50,0.670830,0.291470,0.297367,0.131151
51,0.670830,0.299781,0.297367,0.130984
52,0.670830,0.293047,0.297367,0.131649
53,0.670830,0.300338,0.299547,0.130940
54,0.670830,0.323687,0.302942,0.129151
55,0.670830,0.295604,0.302942,0.134072
56,0.670830,0.309975,0.302942,0.125496
57,0.670830,0.326739,0.302942,0.125863
58,0.670830,0.313650,0.302942,0.130674
59,0.670830,0.328851,0.308567,0.132513
60,0.670830,0.332439,0.308567,0.127112
61,0.670830,0.312738,0.308567,0.126300
62,0.670830,0.328869,0.308567,0.128718
63,0.670830,0.314830,0.308567,0.128496
64,0.670830,0.315105,0.308567,0.124333
65,0.670830,0.328431,0.308567,0.123522
66,0.670830,0.344201,0.308567,0.130359
67,0.670830,0.325035,0.309984,0.134976
68,0.670830,0.339721,0.309984,0.129858
69,0.670830,0.339661,0.309984,0.129402
70,0.670830,0.350990,0.309984,0.125350
71,0.670830,0.348983,0.309984,0.125989
72,0.670830,0.339656,0.310558,0.127400
73,0.670830,0.317901,0.310558,0.129354
74,0.670830,0.343230,0.313152,0.127868
75,0.670830,0.353251,0.313152,0.129151
76,0.670830,0.349752,0.313152,0.127960
77,0.670830,0.344919,0.313152,0.130840
78,0.670830,0.343630,0.313152,0.129831
79,0.670830,0.341330,0.313292,0.129601
80,0.670830,0.330330,0.315124,0.127864
81,0.670830,0.348158,0.315124,0.129494
82,0.670830,0.342163,0.315124,0.126489
83,0.670830,0.335006,0.315124,0.126453
84,0.670830,0.341325,0.315124,0.129668
85,0.670830,0.350656,0.315124,0.131561
86,0.670830,0.354769,0.319450,0.130705
87,0.670830,0.329632,0.319450,0.126980
88,0.670830,0.350500,0.319450,0.129061
89,0.670830,0.341180,0.319450,0.127864
90,0.670830,0.350957,0.319450,0.132105
91,0.670830,0.334358,0.319450,0.128985
92,0.670830,0.331468,0.319450,0.128332
93,0.670830,0.330170,0.319450,0.128840
94,0.670830,0.349031,0.319450,0.128277
95,0.670830,0.341644,0.319450,0.129007
96,0.670830,0.331914,0.319450,0.129919
97,0.670830,0.333877,0.319450,0.125887
98,0.670830,0.365659,0.319450,0.128956
99,0.670830,0.366978,0.319450,0.124434
100,0.677177,0.347890,0.319450,0.128811
101,0.677177,0.333052,0.319450,0.127170
102,0.677177,0.334817,0.319807,0.127180
103,0.677177,0.333234,0.329592,0.131557
104,0.677972,0.345222,0.329592,0.127816
105,0.677972,0.353789,0.329592,0.127411
106,0.677972,0.338219,0.329592,0.130682
107,0.677972,0.366163,0.329592,0.131854
108,0.677972,0.350477,0.330135,0.128144
109,0.677972,0.355523,0.330135,0.127787
110,0.677972,0.369450,0.330135,0.126402
111,0.677972,0.349567,0.330135,0.129545
112,0.677972,0.346997,0.330135,0.129321
113,0.677972,0.356467,0.330135,0.131792
114,0.677972,0.336571,0.330135,0.129817
115,0.677972,0.361649,0.330135,0.131820
116,0.677972,0.342657,0.330135,0.131172
117,0.677972,0.355957,0.330135,0.122564
118,0.677972,0.345783,0.330135,0.128456
119,0.677972,0.349215,0.330135,0.128725
120,0.677972,0.343352,0.330135,0.129196
121,0.677972,0.336865,0.330135,0.128946
122,0.677972,0.378252,0.330135,0.129788
123,0.677972,0.369259,0.330135,0.126343
124,0.677972,0.360672,0.330135,0.125787
125,0.677972,0.354171,0.330135,0.129398
