Iteration,Rank,Fitness,Chromosome
19999,0,0.999981,"[['w', 'w', 'w'], ['sdg', '-', 'crx(1,1.5807937756509916)'], ['-', 'crx(0,1.563313284211607)', 'h'], ['h', 'h', 'rz(0.3919377134034954)'], ['crx(2,0.780803092347588)', 'w', '-']]"
19999,1,0.999975,"[['w', 'w', 'w'], ['sdg', '-', 'crx(1,1.583092853935364)'], ['-', 'crx(0,1.5814361810073312)', 'h'], ['h', 'h', 'rz(0.3847062793628645)'], ['crx(2,0.7888502314193513)', 'w', '-']]"
19999,2,0.999968,"[['w', 'w', 'w'], ['z', '-', 'crx(1,1.5655389832328217)'], ['-', 'crx(0,1.5586589064603829)', 'h'], ['h', 'h', 'rz(0.39538247756493056)'], ['crx(2,0.7718581721613295)', 'w', '-']]"
19999,3,0.999947,"[['w', 'z', 'cz(1)'], ['s', '-', 'crx(1,1.5778701890900673)'], ['-', 'crx(0,1.5516520339028488)', 'h'], ['h', 'h', 'rz(0.3925681233568636)'], ['crx(2,0.7811065678832533)', 'w', 'w']]"
19999,4,0.999934,"[['w', '-', 'cz(1)'], ['s', '-', 'crx(1,1.5404311635969128)'], ['-', 'crx(0,1.5734448981574427)', 'h'], ['h', 'h', 'rz(0.4111741340085441)'], ['crx(2,0.7937474717863829)', 'swap(2)', '-']]"
19999,5,0.999917,"[['w', 'cz(2)', '-'], ['sdg', '-', 'crx(1,1.5770730545233176)'], ['-', 'crx(0,1.5654137619222375)', 'h'], ['h', 'h', 'rz(0.40483024776121823)'], ['crx(2,0.7682102534537175)', 'w', '-']]"
19999,6,0.999915,"[['-', 'crz(0,0.40884525828060964)', 'cz(1)'], ['s', '-', 'crx(1,1.5518134246819948)'], ['-', 'crx(0,1.5672124755809018)', 'h'], ['h', 'h', 'rz(0.3938831209285645)'], ['crx(2,0.8116712654620072)', 'w', '-']]"
19999,7,0.999907,"[['-', 'crz(0,0.39694111803169263)', 'cz(1)'], ['s', '-', 'crx(1,1.5729117653371893)'], ['-', 'crx(0,1.562531824549561)', 'h'], ['h', 'h', 'rz(0.381226743701482)'], ['crx(2,0.7552886604012596)', 'w', '-']]"
19999,8,0.999891,"[['w', '-', 'cz(1)'], ['s', '-', 'crx(1,1.5523206147699795)'], ['-', 'crx(0,1.556216136907456)', 'h'], ['h', 'h', 'rz(0.3917805363676057)'], ['crx(2,0.8090390504061564)', 'w', '-']]"
19999,9,0.999889,"[['w', '-', 'crx(1,0.5960499223092912)'], ['w', '-', 'crx(1,1.0024434446915165)'], ['-', 'crx(0,1.5865236001085379)', 'h'], ['h', 'h', 'rz(0.36953247763697733)'], ['crx(2,0.7981400928098645)', 'w', '-']]"
