Rank,Fitness,Chromosome
0,0.999994,"[['cz(1)', '-', 'crx(1,1.572079714306639)'], ['swap(2)', 'w', 'w'], ['h', 'h', 'h'], ['rz(0.3918995212148711)', '-', 'crx(1,1.5626409303917081)'], ['-', 't', 'crx(0,0.7900528735630631)']]"
1,0.999992,"[['-', 'rzz(0,0.4381480554793667)', 'crx(1,1.5669120691056377)'], ['-', 'cp(0,0.40636706727190886)', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.389875253027532)', '-', 'crx(1,1.567122845330239)'], ['-', 't', 'crx(0,0.7826802522804125)']]"
2,0.999989,"[['w', '-', 'crx(1,1.5578165831714559)'], ['cz(1)', '-', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3977888912037029)', '-', 'crx(1,1.5699909075070946)'], ['-', 't', 'crx(0,0.786821776091598)']]"
3,0.999953,"[['w', 'w', 'crx(1,1.559331855424563)'], ['-', 'w', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3931231602775523)', '-', 'crx(1,1.5922752438862058)'], ['-', 't', 'crx(0,0.7923502183124332)']]"
4,0.999949,"[['-', 'rzz(0,0.7638702689407217)', 'crx(1,1.5648605362351422)'], ['-', 'cp(0,0.04971052529946454)', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3947516297181518)', '-', 'crx(1,1.5487219761550737)'], ['-', 't', 'crx(0,0.7684151998708791)']]"
5,0.999936,"[['cz(1)', '-', 'crx(1,1.5522184152519523)'], ['cz(1)', '-', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3949543375014894)', '-', 'crx(1,1.548777529034066)'], ['-', 't', 'crx(0,0.7856650049719479)']]"
6,0.999929,"[['-', 'rzz(0,0.6771581980933419)', 'crx(1,1.5820429178001325)'], ['-', 'cp(0,0.1764223126069801)', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.38119254442208933)', '-', 'crx(1,1.5959679323457794)'], ['-', 't', 'crx(0,0.7698444200089909)']]"
7,0.999927,"[['w', 'rz(0.7222566286424048)', 'crx(1,1.5845554428848907)'], ['-', 'w', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3960100807978665)', '-', 'crx(1,1.5488364492351896)'], ['-', 't', 'crx(0,0.7763361677536089)']]"
8,0.999923,"[['w', 'rz(0.6782479210836241)', 'crx(1,1.5668196213804515)'], ['-', 'w', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.3816268808266662)', '-', 'crx(1,1.5848632333805348)'], ['-', 't', 'crx(0,0.8037049678736815)']]"
9,0.999919,"[['w', '-', 'crx(1,1.5757241840442238)'], ['-', 'w', 'swap(0)'], ['h', 'h', 'h'], ['rz(0.39938302629239364)', '-', 'crx(1,1.5585303778338584)'], ['-', 't', 'crx(0,0.7574143198071117)']]"
