Rank,Fitness,Chromosome
0,0.999998,"[['-', 'w', 'crx(0,0.7864677888758804)'], ['w', '-', 'crx(1,1.5731394823540794)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5747644365095663)', '-', 'w']]"
1,0.999992,"[['crz(1,0.6454881326501533)', '-', 'crx(0,0.7931532233588211)'], ['rz(0.5045131727786019)', '-', 'crx(1,1.5648401326554018)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5759241850547296)', '-', 'w']]"
2,0.999992,"[['crz(1,0.9600137801995565)', '-', 'crx(0,0.7907303528500258)'], ['rz(0.5656295408996141)', '-', 'crx(1,1.5703882213564302)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5796486406375254)', '-', 'w']]"
3,0.999991,"[['-', 'w', 'crx(0,0.7869896767226243)'], ['z', '-', 'crx(1,1.570945488126848)'], ['w', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5827042356782797)', '-', 'w']]"
4,0.999987,"[['-', 'w', 'crx(0,0.7909434166761258)'], ['w', '-', 'crx(1,1.5616097958443624)'], ['w', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5622420345254264)', '-', 'w']]"
5,0.999985,"[['-', 'w', 'crx(0,0.7827505725593339)'], ['s', '-', 'crx(1,1.582723673155776)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.569156486753454)', '-', 'w']]"
6,0.999983,"[['-', 'w', 'crx(0,0.78904313621301)'], ['rz(0.4122472729363362)', '-', 'crx(1,1.5794223740884863)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.565682902600395)', '-', 'w']]"
7,0.999970,"[['-', 'w', 'crx(0,0.7879568167461071)'], ['rz(0.5013093650332696)', '-', 'crx(1,1.5556025001888119)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5618727628430438)', '-', 'w']]"
8,0.999969,"[['w', 'w', 'crx(0,0.7937022628518389)'], ['rz(0.5319308191952645)', '-', 'crx(1,1.5558650493266737)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.5833948659925483)', '-', 'w']]"
9,0.999969,"[['crz(1,0.827446150191859)', '-', 'crx(0,0.7745796994020966)'], ['rz(0.6995647096657638)', '-', 'crx(1,1.5714545618744657)'], ['tdg', 'h', 'h'], ['h', 't', 'w'], ['crx(1,1.554011448134538)', '-', 'w']]"
