Rank,Fitness,Chromosome
0,0.999820,"[['w', 'cp(2,0.6206353105746409)', '-'], ['h', '-', 'cry(1,1.5472053565030905)'], ['w', 'rx(0.8042116054748595)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5832121102255443)', '-', 'rz(0.4038486244460159)'], ['crx(2,0.8127393651326944)', 'w', '-']]"
1,0.999705,"[['h', 'cp(2,0.34869469614903853)', '-'], ['w', '-', 'cry(1,1.5609822363852834)'], ['w', 'rx(0.7932341323164699)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5607818779569644)', '-', 'rz(0.4179957877038781)'], ['crx(2,0.8365668388759377)', 'w', '-']]"
2,0.999683,"[['w', '-', 'cz(1)'], ['h', '-', 'cry(1,1.5240627044905308)'], ['w', 'rx(0.7979284162782165)', 'sdg'], ['x', 'h', 'h'], ['crx(1,1.606668772441865)', '-', 'rz(0.42066701001776713)'], ['crx(2,0.7555162560492835)', 'w', '-']]"
3,0.999602,"[['w', 'w', 't'], ['w', '-', 'cry(1,1.6441693658590903)'], ['h', 'rx(0.7881866861378874)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5404705266348566)', '-', 'rz(0.35814308007122575)'], ['crx(2,0.7812980525136316)', 'w', '-']]"
4,0.999601,"[['w', '-', 'cz(1)'], ['h', '-', 'cry(1,1.5699103651048116)'], ['w', 'rx(0.768691782918321)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5744722112935603)', '-', 'rz(0.3600525920759547)'], ['crx(2,0.8150642021877523)', 'w', '-']]"
5,0.999576,"[['w', '-', 'cz(1)'], ['h', '-', 'cry(1,1.5525524734150298)'], ['w', 'rx(0.8002026391371568)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5861570112903212)', '-', 'rz(0.388410422528244)'], ['crx(2,0.8533318984017535)', 'w', '-']]"
6,0.999546,"[['w', 'w', 'tdg'], ['h', '-', 'cry(1,1.5614754379974116)'], ['w', 'rx(0.7839749406674479)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.59421003072489)', '-', 'rz(0.4363347662832966)'], ['crx(2,0.7619242117043779)', 'w', '-']]"
7,0.999532,"[['w', 'w', 'w'], ['h', '-', 'cry(1,1.5242228967519174)'], ['w', 'rx(0.8002467081979523)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.539523355484166)', '-', 'rz(0.3937170456662944)'], ['crx(2,0.7469966270437751)', 'w', '-']]"
8,0.999523,"[['-', 'cz(0)', 'cz(1)'], ['w', 'w', 'cry(1,1.529966896680846)'], ['h', 'rx(0.80490197551611)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.5980899108392466)', '-', 'rz(0.44330910741143403)'], ['crx(2,0.7782307289459777)', 'w', '-']]"
9,0.999511,"[['w', 'cp(2,0.44392557387817116)', '-'], ['w', 'w', 'cry(1,1.5561955407510468)'], ['h', 'rx(0.7956395918194143)', 'sdg'], ['w', 'h', 'h'], ['crx(1,1.6033072502609584)', '-', 'rz(0.4254014189257392)'], ['crx(2,0.8450237060189398)', 'w', '-']]"
