Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.373401,0.127427,0.197896,0.131390
1,0.373401,0.145404,0.225475,0.133322
2,0.373401,0.152381,0.234002,0.129086
3,0.373401,0.150349,0.237562,0.132002
4,0.373401,0.160777,0.246800,0.126437
5,0.373401,0.169288,0.246800,0.128012
6,0.373401,0.176260,0.247743,0.130842
7,0.373401,0.179886,0.247784,0.126961
8,0.383652,0.192942,0.250297,0.127065
9,0.383652,0.194496,0.250297,0.129980
10,0.383652,0.197255,0.252488,0.128450
11,0.383652,0.197524,0.252488,0.129256
12,0.393668,0.195264,0.256483,0.128620
13,0.393668,0.208273,0.256856,0.127968
14,0.393668,0.199913,0.262383,0.125558
15,0.393668,0.195858,0.265508,0.131147
16,0.570523,0.209760,0.267068,0.131107
17,0.570523,0.206980,0.267068,0.126027
18,0.570523,0.213066,0.267068,0.128568
19,0.570523,0.212310,0.267106,0.131752
20,0.570523,0.210580,0.268879,0.128641
21,0.570523,0.227997,0.268884,0.129409
22,0.570523,0.221827,0.268884,0.124960
23,0.570523,0.221282,0.268884,0.125105
24,0.570523,0.217810,0.268884,0.128219
25,0.570523,0.218279,0.268884,0.128220
26,0.570523,0.223133,0.268884,0.124906
27,0.570523,0.217054,0.268884,0.129295
28,0.570523,0.226552,0.268884,0.129321
29,0.570523,0.224346,0.268884,0.128945
30,0.570523,0.232694,0.268884,0.127430
31,0.570523,0.232556,0.269072,0.125648
32,0.570523,0.231844,0.269072,0.132031
33,0.570523,0.223392,0.269072,0.128340
34,0.570523,0.231691,0.272142,0.128722
35,0.570523,0.235957,0.272142,0.126252
36,0.570523,0.244297,0.272142,0.128068
37,0.570523,0.233141,0.272142,0.133520
38,0.570523,0.232218,0.275332,0.127911
39,0.570523,0.238752,0.275332,0.128203
40,0.570523,0.235510,0.275332,0.123885
41,0.570523,0.231125,0.276609,0.127913
42,0.570523,0.238407,0.280024,0.132109
43,0.570523,0.238389,0.281014,0.130203
44,0.570523,0.235355,0.281014,0.131673
45,0.570523,0.238242,0.285559,0.127961
46,0.570523,0.237293,0.285559,0.128197
47,0.570523,0.245585,0.285559,0.126553
48,0.570523,0.235022,0.294871,0.131126
49,0.570523,0.242820,0.297367,0.127563
50,0.570523,0.244061,0.297367,0.131151
51,0.570523,0.252059,0.297367,0.130984
52,0.570523,0.247309,0.297367,0.131649
53,0.570523,0.250045,0.299547,0.130940
54,0.570523,0.247988,0.302942,0.129151
55,0.570523,0.249079,0.302942,0.134072
56,0.570523,0.250028,0.302942,0.125496
57,0.570523,0.259271,0.302942,0.125863
58,0.570523,0.243424,0.302942,0.130674
59,0.570523,0.252961,0.308567,0.132513
60,0.570523,0.249099,0.308567,0.127112
61,0.570523,0.276503,0.308567,0.126300
62,0.570523,0.269791,0.308567,0.128718
63,0.570523,0.269470,0.308567,0.128496
64,0.570523,0.259013,0.308567,0.124333
65,0.570523,0.258256,0.308567,0.123522
66,0.570523,0.272703,0.308567,0.130359
67,0.570523,0.259749,0.309984,0.134976
68,0.570523,0.273593,0.309984,0.129858
69,0.570523,0.261919,0.309984,0.129402
70,0.605327,0.276686,0.309984,0.125350
71,0.605327,0.263712,0.309984,0.125989
72,0.605327,0.276639,0.310558,0.127400
73,0.605327,0.279011,0.310558,0.129354
74,0.605327,0.277553,0.313152,0.127868
75,0.605327,0.268317,0.313152,0.129151
76,0.605327,0.276489,0.313152,0.127960
77,0.605327,0.276828,0.313152,0.130840
78,0.634226,0.286337,0.313152,0.129831
79,0.634226,0.283026,0.313292,0.129601
80,0.634226,0.281722,0.315124,0.127864
81,0.634226,0.279151,0.315124,0.129494
82,0.634226,0.292538,0.315124,0.126489
83,0.634226,0.292941,0.315124,0.126453
84,0.634226,0.290846,0.315124,0.129668
85,0.634226,0.305459,0.315124,0.131561
86,0.634226,0.291393,0.319450,0.130705
87,0.650705,0.294038,0.319450,0.126980
88,0.650705,0.286361,0.319450,0.129061
89,0.650705,0.281513,0.319450,0.127864
90,0.650705,0.288699,0.319450,0.132105
91,0.650705,0.283306,0.319450,0.128985
92,0.650705,0.290864,0.319450,0.128332
93,0.650705,0.288175,0.319450,0.128840
94,0.650705,0.288313,0.319450,0.128277
95,0.650705,0.289390,0.319450,0.129007
96,0.650705,0.274933,0.319450,0.129919
97,0.650705,0.294168,0.319450,0.125887
98,0.650705,0.309979,0.319450,0.128956
99,0.650705,0.311401,0.319450,0.124434
100,0.650705,0.296118,0.319450,0.128811
101,0.650705,0.319058,0.319450,0.127170
102,0.650705,0.313484,0.319807,0.127180
103,0.650705,0.312128,0.329592,0.131557
104,0.650705,0.298480,0.329592,0.127816
105,0.650705,0.317222,0.329592,0.127411
106,0.650705,0.317973,0.329592,0.130682
107,0.650705,0.291625,0.329592,0.131854
108,0.650705,0.309770,0.330135,0.128144
109,0.650705,0.326975,0.330135,0.127787
110,0.650705,0.305721,0.330135,0.126402
111,0.650705,0.319100,0.330135,0.129545
112,0.650705,0.306970,0.330135,0.129321
113,0.650705,0.314950,0.330135,0.131792
114,0.650705,0.315675,0.330135,0.129817
115,0.650705,0.316016,0.330135,0.131820
116,0.650705,0.305499,0.330135,0.131172
117,0.650705,0.299943,0.330135,0.122564
118,0.650705,0.308057,0.330135,0.128456
119,0.650705,0.312818,0.330135,0.128725
120,0.650705,0.317749,0.330135,0.129196
121,0.650705,0.299616,0.330135,0.128946
122,0.650705,0.308962,0.330135,0.129788
123,0.650705,0.311766,0.330135,0.126343
124,0.650705,0.318259,0.330135,0.125787
125,0.650705,0.303409,0.330135,0.129398
126,0.650705,0.317231,0.330135,0.130014
127,0.650705,0.315464,0.330135,0.123383
128,0.650705,0.327471,0.330135,0.128606
129,0.650705,0.324829,0.330135,0.127635
130,0.650705,0.336885,0.330135,0.132552
131,0.650705,0.325240,0.330135,0.128438
132,0.650705,0.335600,0.330135,0.126643
133,0.650705,0.312333,0.330221,0.132874
134,0.650705,0.315094,0.330221,0.127554
135,0.650705,0.331336,0.330221,0.132580
136,0.650705,0.313402,0.330221,0.130438
137,0.650705,0.322475,0.330221,0.126851
138,0.650705,0.315758,0.330221,0.129310
139,0.650705,0.327643,0.330221,0.127436
140,0.650705,0.339682,0.330221,0.128663
141,0.650705,0.320559,0.330221,0.126085
142,0.650705,0.325642,0.330221,0.127591
143,0.650705,0.324593,0.332463,0.131057
144,0.650705,0.322725,0.332463,0.130662
145,0.650705,0.317153,0.339872,0.128558
146,0.650705,0.318816,0.339872,0.130985
147,0.650705,0.306949,0.339872,0.130737
148,0.650705,0.321805,0.339872,0.131284
149,0.650705,0.319980,0.339872,0.128027
150,0.650705,0.333665,0.339872,0.133572
151,0.650705,0.330527,0.339872,0.129901
152,0.650705,0.327146,0.344527,0.128053
153,0.650705,0.314775,0.344527,0.129794
154,0.650705,0.329784,0.344527,0.125699
155,0.650705,0.320668,0.344527,0.126824
156,0.650705,0.348617,0.344527,0.130223
157,0.650705,0.332962,0.344719,0.132874
158,0.650705,0.326240,0.344719,0.126755
159,0.650705,0.334137,0.344719,0.129701
160,0.653807,0.338224,0.344719,0.125948
161,0.653807,0.328581,0.344719,0.129815
162,0.653807,0.333517,0.344719,0.127532
163,0.659717,0.334717,0.344719,0.130262
164,0.685396,0.327882,0.344719,0.131527
165,0.685396,0.338512,0.344719,0.127459
166,0.685396,0.333301,0.344719,0.133061
167,0.685396,0.337303,0.344719,0.133804
168,0.685396,0.326400,0.344719,0.131604
169,0.685396,0.335183,0.344719,0.126326
170,0.685396,0.338867,0.344719,0.127664
171,0.685396,0.345827,0.344719,0.126587
172,0.685396,0.347378,0.344719,0.126914
173,0.685396,0.337021,0.344719,0.126247
174,0.685396,0.334018,0.344719,0.127685
175,0.685396,0.342199,0.344719,0.124190
176,0.685396,0.348575,0.344719,0.126751
177,0.685396,0.344881,0.344719,0.127912
178,0.685396,0.351139,0.344719,0.128067
179,0.685396,0.343735,0.344719,0.130550
180,0.685396,0.327553,0.344719,0.125945
181,0.685396,0.335759,0.344719,0.128318
182,0.685396,0.345470,0.344719,0.129469
183,0.685396,0.364560,0.344719,0.127660
184,0.685396,0.356684,0.344719,0.127634
185,0.685396,0.347772,0.344719,0.125407
186,0.685396,0.350871,0.344719,0.127875
187,0.685396,0.380151,0.344719,0.129127
188,0.713918,0.363849,0.344719,0.129642
189,0.713918,0.332944,0.344719,0.127322
190,0.713918,0.344015,0.344719,0.129770
191,0.713918,0.342119,0.344719,0.129069
192,0.713918,0.345883,0.344719,0.125091
193,0.713918,0.352898,0.344719,0.131552
194,0.713918,0.342801,0.344719,0.126502
195,0.713918,0.352613,0.346015,0.128202
196,0.713918,0.350036,0.346015,0.130339
197,0.713918,0.346263,0.346015,0.132643
198,0.713918,0.365611,0.346015,0.124801
199,0.713918,0.349698,0.346015,0.126581
200,0.713918,0.358211,0.346015,0.129755
201,0.713918,0.356519,0.346015,0.126914
202,0.713918,0.351382,0.346015,0.131319
203,0.713918,0.369474,0.346015,0.132495
204,0.713918,0.359341,0.346015,0.128127
205,0.713918,0.369674,0.346015,0.130602
206,0.713918,0.341795,0.346015,0.132820
207,0.713918,0.364170,0.346015,0.133073
208,0.713918,0.360916,0.346178,0.134032
209,0.713918,0.353003,0.346178,0.130884
210,0.713918,0.351433,0.346178,0.130405
211,0.713918,0.350298,0.346178,0.127484
212,0.713918,0.337051,0.346178,0.128345
213,0.713918,0.340999,0.346178,0.129561
214,0.713918,0.349435,0.346178,0.130511
215,0.713918,0.367215,0.346178,0.128118
216,0.713918,0.358496,0.346178,0.128911
217,0.713918,0.352273,0.346178,0.126635
218,0.713918,0.370644,0.355423,0.130591
219,0.713918,0.351737,0.355465,0.127425
220,0.713918,0.344807,0.355465,0.128176
221,0.713918,0.374697,0.356659,0.129056
222,0.713918,0.366935,0.356659,0.130909
223,0.713918,0.347170,0.356659,0.126881
224,0.713918,0.344540,0.356659,0.126482
225,0.713918,0.341450,0.356659,0.129059
226,0.713918,0.356981,0.356659,0.129729
227,0.713918,0.356266,0.356659,0.130856
228,0.713918,0.365574,0.356659,0.125423
229,0.718800,0.367469,0.356659,0.130559
230,0.718800,0.367164,0.358633,0.128152
231,0.718800,0.374459,0.358633,0.126832
232,0.718800,0.352467,0.358633,0.126843
233,0.718800,0.345271,0.358633,0.127874
234,0.718800,0.353345,0.358633,0.127046
235,0.718800,0.338617,0.358633,0.126407
236,0.718800,0.358840,0.358633,0.122930
237,0.718800,0.357187,0.358633,0.129006
238,0.718800,0.345078,0.358633,0.126163
239,0.718800,0.356814,0.358633,0.129614
240,0.718800,0.350954,0.358633,0.124168
241,0.718800,0.344462,0.358633,0.132037
242,0.718800,0.375810,0.358633,0.127459
243,0.718800,0.362615,0.358633,0.131223
244,0.718800,0.371484,0.358633,0.129159
