Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.311658,0.124511,0.197896,0.131390
1,0.311658,0.146870,0.225475,0.133322
2,0.311658,0.145563,0.234002,0.129086
3,0.435130,0.156435,0.237562,0.132002
4,0.435130,0.159563,0.246800,0.126437
5,0.435130,0.163598,0.246800,0.128012
6,0.435130,0.176263,0.247743,0.130842
7,0.435130,0.176541,0.247784,0.126961
8,0.495734,0.184703,0.250297,0.127065
9,0.495734,0.182756,0.250297,0.129980
10,0.495734,0.195044,0.252488,0.128450
11,0.495734,0.201243,0.252488,0.129256
12,0.495734,0.204617,0.256483,0.128620
13,0.495734,0.215199,0.256856,0.127968
14,0.495734,0.214890,0.262383,0.125558
15,0.495734,0.219628,0.265508,0.131147
16,0.495734,0.229653,0.267068,0.131107
17,0.495734,0.227721,0.267068,0.126027
18,0.495734,0.228672,0.267068,0.128568
19,0.521048,0.233289,0.267106,0.131752
20,0.521048,0.240626,0.268879,0.128641
21,0.521048,0.236801,0.268884,0.129409
22,0.521048,0.231925,0.268884,0.124960
23,0.521048,0.241522,0.268884,0.125105
24,0.521048,0.251862,0.268884,0.128219
25,0.521048,0.249555,0.268884,0.128220
26,0.521048,0.241583,0.268884,0.124906
27,0.521048,0.246134,0.268884,0.129295
28,0.521048,0.248501,0.268884,0.129321
29,0.521048,0.243266,0.268884,0.128945
30,0.521048,0.247389,0.268884,0.127430
31,0.521048,0.251779,0.269072,0.125648
32,0.538696,0.257605,0.269072,0.132031
33,0.538696,0.252380,0.269072,0.128340
34,0.538696,0.256085,0.272142,0.128722
35,0.538696,0.250379,0.272142,0.126252
36,0.568191,0.269522,0.272142,0.128068
37,0.568191,0.268990,0.272142,0.133520
38,0.568191,0.261413,0.275332,0.127911
39,0.568191,0.263053,0.275332,0.128203
40,0.568191,0.263257,0.275332,0.123885
41,0.568191,0.275219,0.276609,0.127913
42,0.568191,0.295100,0.280024,0.132109
43,0.568191,0.276981,0.281014,0.130203
44,0.568191,0.272625,0.281014,0.131673
45,0.568191,0.278845,0.285559,0.127961
46,0.568191,0.279773,0.285559,0.128197
47,0.568191,0.285756,0.285559,0.126553
48,0.568191,0.278459,0.294871,0.131126
49,0.568191,0.262965,0.297367,0.127563
50,0.568191,0.278800,0.297367,0.131151
51,0.568191,0.281775,0.297367,0.130984
52,0.568191,0.294331,0.297367,0.131649
53,0.568191,0.290118,0.299547,0.130940
54,0.568191,0.291485,0.302942,0.129151
55,0.568191,0.286636,0.302942,0.134072
56,0.568191,0.291801,0.302942,0.125496
