Iteration,EA Max Fitness,EA Avg Fitness,Random Max Fitness,Random Avg Fitness
0,0.304224,0.132946,0.197896,0.131390
1,0.304224,0.155624,0.225475,0.133322
2,0.304224,0.162678,0.234002,0.129086
3,0.391141,0.167577,0.237562,0.132002
4,0.391141,0.174760,0.246800,0.126437
5,0.391141,0.179777,0.246800,0.128012
6,0.391141,0.175526,0.247743,0.130842
7,0.391141,0.177223,0.247784,0.126961
8,0.391141,0.178408,0.250297,0.127065
9,0.391141,0.180278,0.250297,0.129980
10,0.391141,0.195102,0.252488,0.128450
11,0.391141,0.193549,0.252488,0.129256
12,0.391141,0.195189,0.256483,0.128620
13,0.391141,0.190139,0.256856,0.127968
14,0.408277,0.202521,0.262383,0.125558
15,0.408277,0.199220,0.265508,0.131147
16,0.408277,0.203378,0.267068,0.131107
17,0.408277,0.200924,0.267068,0.126027
18,0.656980,0.217095,0.267068,0.128568
19,0.656980,0.217881,0.267106,0.131752
20,0.656980,0.224496,0.268879,0.128641
21,0.656980,0.214254,0.268884,0.129409
22,0.656980,0.233548,0.268884,0.124960
23,0.656980,0.216282,0.268884,0.125105
24,0.656980,0.230085,0.268884,0.128219
25,0.656980,0.230192,0.268884,0.128220
26,0.656980,0.233618,0.268884,0.124906
27,0.656980,0.233427,0.268884,0.129295
28,0.656980,0.239494,0.268884,0.129321
29,0.656980,0.237841,0.268884,0.128945
30,0.656980,0.244864,0.268884,0.127430
31,0.656980,0.251651,0.269072,0.125648
32,0.656980,0.260098,0.269072,0.132031
33,0.656980,0.251070,0.269072,0.128340
34,0.656980,0.264953,0.272142,0.128722
35,0.656980,0.264866,0.272142,0.126252
36,0.656980,0.253195,0.272142,0.128068
37,0.656980,0.269233,0.272142,0.133520
38,0.656980,0.281404,0.275332,0.127911
39,0.656980,0.280643,0.275332,0.128203
40,0.656980,0.284998,0.275332,0.123885
41,0.656980,0.288332,0.276609,0.127913
42,0.656980,0.297474,0.280024,0.132109
43,0.656980,0.292964,0.281014,0.130203
44,0.656980,0.305262,0.281014,0.131673
45,0.656980,0.302160,0.285559,0.127961
46,0.656980,0.320823,0.285559,0.128197
47,0.656980,0.323075,0.285559,0.126553
48,0.656980,0.315230,0.294871,0.131126
49,0.656980,0.316523,0.297367,0.127563
50,0.656980,0.340969,0.297367,0.131151
51,0.656980,0.318691,0.297367,0.130984
52,0.656980,0.317217,0.297367,0.131649
