Rank,Fitness,Chromosome
0,0.999996,"[['cp(1,0.5849516095565954)', '-', 'crx(1,1.572876996663934)'], ['-', 'crx(0,1.5691436908300895)', 'crx(0,0.7790967718216738)'], ['h', 'h', 'h']]"
1,0.999995,"[['cp(1,0.6843679250712763)', '-', 'crx(1,1.5721904087142098)'], ['-', 'crx(0,1.5755289716293095)', 'crx(0,0.7805344297824237)'], ['h', 'h', 'h']]"
2,0.999995,"[['w', '-', 'crx(1,1.566594173051574)'], ['-', 'crx(0,1.5714265337869995)', 'crx(0,0.782179856773062)'], ['h', 'h', 'h'], ['swap(2)', 'w', '-']]"
3,0.999994,"[['w', 't', 'crx(1,1.5657077550528384)'], ['-', 'crx(0,1.566902106043053)', 'crx(0,0.7837910638235481)'], ['h', 'h', 'h']]"
4,0.999992,"[['-', 'rzz(0,0.47014296759508223)', 'crx(1,1.5720968368173893)'], ['-', 'crx(0,1.5763955000557466)', 'crx(0,0.7793466678271451)'], ['h', 'h', 'h']]"
5,0.999992,"[['w', 'w', 'crx(1,1.574139564264376)'], ['-', 'crx(0,1.5689041428238062)', 'crx(0,0.7762629190151001)'], ['h', 'h', 'h']]"
6,0.999991,"[['w', 's', 'crx(1,1.5761982456334318)'], ['-', 'crx(0,1.5751219808200803)', 'crx(0,0.7771908465609311)'], ['sdg', 'h', 'h'], ['h', 'w', 'w']]"
7,0.999990,"[['w', 's', 'crx(1,1.572434156884861)'], ['-', 'crx(0,1.5668251049080169)', 'crx(0,0.7766189784421766)'], ['h', 'h', 'h']]"
8,0.999989,"[['w', '-', 'crx(1,1.5627957394733643)'], ['-', 'crx(0,1.5689120231329843)', 'crx(0,0.7836845688444911)'], ['h', 'h', 'h']]"
9,0.999989,"[['w', 't', 'crx(1,1.577363072043606)'], ['-', 'crx(0,1.5776724962969675)', 'crx(0,0.7854218440971363)'], ['h', 'h', 'h']]"
