Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.062157
0,0,1,0.208181
0,0,2,0.195850
0,0,3,0.219481
0,0,4,0.193003
0,0,5,0.211031
0,0,6,0.156255
0,0,7,0.039052
0,0,8,0.251353
0,0,9,0.122782
0,0,10,0.154822
0,0,11,0.156979
0,0,12,0.200000
0,0,13,0.200000
0,0,14,0.159543
0,0,15,0.268523
0,0,16,0.108628
0,0,17,0.158914
0,0,18,0.369299
0,0,19,0.113057
0,0,20,0.083373
0,0,21,0.167635
0,0,22,0.273819
0,0,23,0.198836
0,0,24,0.011033
0,0,25,0.311993
0,0,26,0.201004
0,0,27,0.164244
0,0,28,0.221255
0,0,29,0.263783
0,0,30,0.330338
0,0,31,0.200000
0,0,32,0.200000
0,0,33,0.123535
0,0,34,0.141344
0,0,35,0.165497
0,0,36,0.257068
0,0,37,0.220588
0,0,38,0.235226
0,0,39,0.224139
0,0,40,0.091785
0,0,41,0.199985
0,0,42,0.362922
0,0,43,0.288823
0,0,44,0.252388
0,0,45,0.200000
0,0,46,0.243488
0,0,47,0.200000
0,0,48,0.116428
0,0,49,0.234293
0,0,50,0.145341
0,0,51,0.106870
0,0,52,0.200000
0,0,53,0.197290
0,0,54,0.079024
0,0,55,0.150881
0,0,56,0.193211
0,0,57,0.204527
0,0,58,0.199800
0,0,59,0.188049
0,0,60,0.186876
0,0,61,0.199853
0,0,62,0.189499
0,0,63,0.200285
0,0,64,0.090679
0,0,65,0.156128
0,0,66,0.199900
0,0,67,0.083307
0,0,68,0.261480
0,0,69,0.200000
0,0,70,0.200260
0,0,71,0.117960
0,0,72,0.251047
0,0,73,0.165255
0,0,74,0.248947
0,0,75,0.310171
0,0,76,0.200000
0,0,77,0.187345
0,0,78,0.200874
0,0,79,0.199949
0,0,80,0.312716
0,0,81,0.274549
0,0,82,0.214952
0,0,83,0.173404
0,0,84,0.229857
0,0,85,0.200000
0,0,86,0.117158
0,0,87,0.172715
0,0,88,0.200000
0,0,89,0.389996
0,0,90,0.231503
0,0,91,0.200000
0,0,92,0.192021
0,0,93,0.305440
0,0,94,0.276908
0,0,95,0.084815
0,0,96,0.200000
0,0,97,0.268359
0,0,98,0.231816
0,0,99,0.180565
100,0,0,0.777206
100,0,1,0.747808
100,0,2,0.745230
100,0,3,0.730352
100,0,4,0.728428
100,0,5,0.711294
100,0,6,0.707144
100,0,7,0.706094
100,0,8,0.698318
100,0,9,0.697551
100,0,10,0.693433
100,0,11,0.686669
100,0,12,0.686669
100,0,13,0.682505
100,0,14,0.682469
100,0,15,0.681908
100,0,16,0.681791
100,0,17,0.681669
100,0,18,0.681669
100,0,19,0.681669
100,0,20,0.681491
100,0,21,0.681073
100,0,22,0.680657
100,0,23,0.678297
100,0,24,0.676920
100,0,25,0.676908
100,0,26,0.676885
100,0,27,0.676669
100,0,28,0.676669
100,0,29,0.676669
100,0,30,0.675241
100,0,31,0.675006
100,0,32,0.674946
100,0,33,0.680657
100,0,34,0.205000
100,0,35,0.210243
100,0,36,0.215000
100,0,37,0.034511
100,0,38,0.335731
100,0,39,0.206338
100,0,40,0.209835
100,0,41,0.200000
100,0,42,0.093138
100,0,43,0.081858
100,0,44,0.167115
100,0,45,0.153290
100,0,46,0.252086
100,0,47,0.150441
100,0,48,0.204971
100,0,49,0.203271
100,0,50,0.312651
100,0,51,0.280005
100,0,52,0.267707
100,0,53,0.228448
100,0,54,0.205000
100,0,55,0.141254
100,0,56,0.205175
100,0,57,0.216444
100,0,58,0.117086
100,0,59,0.439049
100,0,60,0.311474
100,0,61,0.773512
100,0,62,0.205000
100,0,63,0.336523
100,0,64,0.323289
100,0,65,0.182684
100,0,66,0.268584
100,0,67,0.259854
100,0,68,0.205783
100,0,69,0.258668
100,0,70,0.674410
100,0,71,0.151337
100,0,72,0.081510
100,0,73,0.325303
100,0,74,0.174811
100,0,75,0.559467
100,0,76,0.411068
100,0,77,0.278843
100,0,78,0.206622
100,0,79,0.152442
100,0,80,0.301786
100,0,81,0.280629
100,0,82,0.200000
100,0,83,0.205466
100,0,84,0.123029
100,0,85,0.200000
100,0,86,0.675599
100,0,87,0.161041
100,0,88,0.321477
100,0,89,0.167670
100,0,90,0.205000
100,0,91,0.102857
100,0,92,0.215120
100,0,93,0.205000
100,0,94,0.164900
100,0,95,-0.013113
100,0,96,0.201371
100,0,97,0.280986
100,0,98,0.276687
100,0,99,0.425628
200,0,0,0.929081
200,0,1,0.929081
200,0,2,0.929081
200,0,3,0.929081
200,0,4,0.929081
200,0,5,0.925761
200,0,6,0.924321
200,0,7,0.924264
200,0,8,0.920750
200,0,9,0.920750
200,0,10,0.920750
200,0,11,0.919338
200,0,12,0.919081
200,0,13,0.919081
200,0,14,0.919081
200,0,15,0.917654
200,0,16,0.917418
200,0,17,0.917179
200,0,18,0.915750
200,0,19,0.915263
200,0,20,0.914321
200,0,21,0.912179
200,0,22,0.906446
200,0,23,0.905034
200,0,24,0.901670
200,0,25,0.900867
200,0,26,0.899833
200,0,27,0.899816
200,0,28,0.897871
200,0,29,0.897385
200,0,30,0.896702
200,0,31,0.892585
200,0,32,0.892413
200,0,33,0.405660
200,0,34,0.764761
200,0,35,0.210000
200,0,36,0.329690
200,0,37,0.230453
200,0,38,0.244344
200,0,39,0.210331
200,0,40,0.259072
200,0,41,0.215000
200,0,42,0.333802
200,0,43,0.151717
200,0,44,0.245272
200,0,45,0.209623
200,0,46,0.219834
200,0,47,0.287748
200,0,48,0.449744
200,0,49,0.924083
200,0,50,0.442893
200,0,51,0.088055
200,0,52,0.252638
200,0,53,0.219887
200,0,54,0.264777
200,0,55,0.205000
200,0,56,0.154954
200,0,57,0.215000
200,0,58,0.199998
200,0,59,0.287886
200,0,60,0.215000
200,0,61,0.739838
200,0,62,0.764041
200,0,63,0.106032
200,0,64,0.205365
200,0,65,0.217875
200,0,66,0.242414
200,0,67,0.107118
200,0,68,0.200000
200,0,69,0.438962
200,0,70,0.195006
200,0,71,0.091383
200,0,72,0.204160
200,0,73,0.255044
200,0,74,0.111829
200,0,75,0.205000
200,0,76,0.209848
200,0,77,0.235178
200,0,78,0.205473
200,0,79,0.408198
200,0,80,0.214989
200,0,81,0.195944
200,0,82,0.178762
200,0,83,0.091205
200,0,84,0.205000
200,0,85,0.205000
200,0,86,0.215000
200,0,87,0.313463
200,0,88,0.441323
200,0,89,0.415546
200,0,90,0.210086
200,0,91,0.263413
