Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.172753
0,0,1,0.159084
0,0,2,0.190072
0,0,3,0.489275
0,0,4,0.182360
0,0,5,0.143441
0,0,6,0.117967
0,0,7,0.281195
0,0,8,0.202918
0,0,9,0.298268
0,0,10,0.218888
0,0,11,0.145877
0,0,12,0.200889
0,0,13,0.190235
0,0,14,0.187143
0,0,15,0.142249
0,0,16,0.203793
0,0,17,0.214457
0,0,18,0.083004
0,0,19,0.249319
0,0,20,0.135822
0,0,21,0.200115
0,0,22,0.246931
0,0,23,0.113881
0,0,24,0.145646
0,0,25,0.108223
0,0,26,0.103418
0,0,27,0.167974
0,0,28,0.230042
0,0,29,0.141210
0,0,30,0.166890
0,0,31,0.200000
0,0,32,0.223179
0,0,33,0.242476
0,0,34,0.200705
0,0,35,0.203311
0,0,36,0.200103
0,0,37,0.360393
0,0,38,0.135674
0,0,39,0.184966
0,0,40,0.245429
0,0,41,0.363748
0,0,42,0.248523
0,0,43,0.200000
0,0,44,0.237604
0,0,45,0.307988
0,0,46,0.169830
0,0,47,0.291787
0,0,48,0.199768
0,0,49,0.184904
0,0,50,0.140839
0,0,51,0.219306
0,0,52,0.210889
0,0,53,0.213016
0,0,54,0.200000
0,0,55,0.200000
0,0,56,0.132113
0,0,57,0.265605
0,0,58,0.243661
0,0,59,0.269130
0,0,60,0.195226
0,0,61,0.188259
0,0,62,0.279863
0,0,63,0.224195
0,0,64,0.111782
0,0,65,0.297226
0,0,66,0.200000
0,0,67,0.200000
0,0,68,0.384576
0,0,69,0.153312
0,0,70,0.228420
0,0,71,0.172828
0,0,72,0.152294
0,0,73,0.198823
0,0,74,0.114756
0,0,75,0.200000
0,0,76,0.209668
0,0,77,0.222733
0,0,78,0.171286
0,0,79,0.245610
0,0,80,0.276975
0,0,81,0.111720
0,0,82,0.190297
0,0,83,0.083554
0,0,84,0.200000
0,0,85,0.182624
0,0,86,0.200339
0,0,87,0.069007
0,0,88,0.260867
0,0,89,0.200000
0,0,90,0.167857
0,0,91,0.115331
0,0,92,0.147583
0,0,93,0.282053
0,0,94,0.159224
0,0,95,0.199983
0,0,96,0.025229
0,0,97,0.132697
0,0,98,0.326381
0,0,99,0.051690
100,0,0,0.938883
100,0,1,0.929251
100,0,2,0.925781
100,0,3,0.921022
100,0,4,0.918585
100,0,5,0.918485
100,0,6,0.917486
100,0,7,0.915208
100,0,8,0.912360
100,0,9,0.908290
100,0,10,0.905574
100,0,11,0.905346
100,0,12,0.903075
100,0,13,0.902782
100,0,14,0.901992
100,0,15,0.901759
100,0,16,0.901240
100,0,17,0.900824
100,0,18,0.900387
100,0,19,0.899211
100,0,20,0.895997
100,0,21,0.894062
100,0,22,0.893512
100,0,23,0.890774
