Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.149285
0,0,1,0.166103
0,0,2,0.111542
0,0,3,0.162540
0,0,4,0.162287
0,0,5,0.098720
0,0,6,0.217715
0,0,7,0.217289
0,0,8,0.164896
0,0,9,0.158215
0,0,10,0.188180
0,0,11,0.204357
0,0,12,0.200000
0,0,13,0.199873
0,0,14,0.186663
0,0,15,0.229535
0,0,16,0.200000
0,0,17,0.235497
0,0,18,0.283369
0,0,19,0.228508
0,0,20,0.241079
0,0,21,0.225766
0,0,22,0.243372
0,0,23,0.254279
0,0,24,0.366175
0,0,25,0.230873
0,0,26,0.188468
0,0,27,0.071573
0,0,28,0.116018
0,0,29,0.195560
0,0,30,0.309247
0,0,31,0.182806
0,0,32,0.226356
0,0,33,0.086011
0,0,34,0.200000
0,0,35,0.208015
0,0,36,0.200000
0,0,37,0.100955
0,0,38,0.200000
0,0,39,0.181109
0,0,40,0.292210
0,0,41,0.176230
0,0,42,0.145464
0,0,43,0.195370
0,0,44,0.200000
0,0,45,0.310437
0,0,46,0.242301
0,0,47,0.212737
0,0,48,0.200000
0,0,49,0.205129
0,0,50,0.160525
0,0,51,0.180426
0,0,52,0.164646
0,0,53,0.097796
0,0,54,0.240713
0,0,55,0.237412
0,0,56,0.083702
0,0,57,0.259690
0,0,58,0.288102
0,0,59,0.141312
0,0,60,0.341924
0,0,61,0.174087
0,0,62,0.163218
0,0,63,0.359417
0,0,64,0.057980
0,0,65,0.200339
0,0,66,0.201161
0,0,67,0.188342
0,0,68,0.237284
0,0,69,0.258952
0,0,70,0.149389
0,0,71,0.221286
0,0,72,0.200000
0,0,73,0.211999
0,0,74,0.199840
0,0,75,0.146418
0,0,76,0.184050
0,0,77,0.110251
0,0,78,0.135849
0,0,79,0.200000
0,0,80,0.207183
0,0,81,0.200029
0,0,82,0.200000
0,0,83,0.177500
0,0,84,0.231381
0,0,85,0.138526
0,0,86,0.179487
0,0,87,0.285317
0,0,88,0.196657
0,0,89,0.326534
0,0,90,0.142440
0,0,91,0.347133
0,0,92,0.258011
0,0,93,0.199732
0,0,94,0.099787
0,0,95,0.128324
0,0,96,0.147587
0,0,97,0.200000
0,0,98,0.142744
0,0,99,0.113921
100,0,0,0.886920
100,0,1,0.878519
100,0,2,0.870876
100,0,3,0.864264
100,0,4,0.860064
100,0,5,0.857674
100,0,6,0.853558
100,0,7,0.849179
100,0,8,0.846527
100,0,9,0.841819
100,0,10,0.833861
100,0,11,0.830939
