Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.237499
0,0,1,0.200000
0,0,2,0.164053
0,0,3,0.270733
0,0,4,0.065975
0,0,5,0.221172
0,0,6,0.187256
0,0,7,0.231437
0,0,8,0.200000
0,0,9,0.207885
0,0,10,0.200000
0,0,11,0.082991
0,0,12,0.342963
0,0,13,0.227929
0,0,14,0.250113
0,0,15,0.263947
0,0,16,0.144964
0,0,17,0.197081
0,0,18,0.200000
0,0,19,0.228314
0,0,20,0.200233
0,0,21,0.200000
0,0,22,0.282318
0,0,23,0.078892
0,0,24,0.258178
0,0,25,0.299635
0,0,26,0.195072
0,0,27,0.207857
0,0,28,0.232971
0,0,29,0.240431
0,0,30,0.199391
0,0,31,0.414178
0,0,32,0.118454
0,0,33,0.212601
0,0,34,0.263652
0,0,35,0.200000
0,0,36,0.194022
0,0,37,0.226230
0,0,38,0.181747
0,0,39,0.257645
0,0,40,0.268111
0,0,41,0.293154
0,0,42,0.200000
0,0,43,0.200000
0,0,44,0.151271
0,0,45,0.093153
0,0,46,0.128622
0,0,47,0.258570
0,0,48,0.239996
0,0,49,0.246573
0,0,50,0.200497
0,0,51,0.157680
0,0,52,0.200201
0,0,53,0.200000
0,0,54,0.200000
0,0,55,0.227275
0,0,56,0.240012
0,0,57,0.161551
0,0,58,0.087854
0,0,59,0.268289
0,0,60,0.200000
0,0,61,0.173795
0,0,62,0.180570
0,0,63,0.202642
0,0,64,0.200000
0,0,65,0.214526
0,0,66,0.246650
0,0,67,0.200000
0,0,68,0.139944
0,0,69,0.234914
0,0,70,0.311651
0,0,71,0.200000
0,0,72,0.126736
0,0,73,0.200000
0,0,74,0.297553
0,0,75,0.190633
0,0,76,0.178393
0,0,77,0.250854
0,0,78,0.200000
0,0,79,0.145995
0,0,80,0.162169
0,0,81,0.200000
0,0,82,0.248480
0,0,83,0.105611
0,0,84,0.203473
0,0,85,0.200000
0,0,86,0.172427
0,0,87,0.124479
0,0,88,0.200000
0,0,89,0.200000
0,0,90,0.217310
0,0,91,0.200000
0,0,92,0.218038
0,0,93,0.255947
0,0,94,0.206849
0,0,95,0.200000
0,0,96,0.155368
0,0,97,0.145008
0,0,98,0.200000
0,0,99,0.319493
100,0,0,0.945000
100,0,1,0.934797
100,0,2,0.934313
100,0,3,0.931285
100,0,4,0.928543
100,0,5,0.928543
100,0,6,0.928061
100,0,7,0.926566
100,0,8,0.925858
100,0,9,0.925387
100,0,10,0.923543
100,0,11,0.923543
100,0,12,0.916630
100,0,13,0.911984
100,0,14,0.907815
100,0,15,0.907815
100,0,16,0.902763
100,0,17,0.901263
100,0,18,0.847835
100,0,19,0.847523
100,0,20,0.828846
100,0,21,0.818992
100,0,22,0.816854
100,0,23,0.815293
100,0,24,0.808288
100,0,25,0.808288
100,0,26,0.804672
100,0,27,0.800305
100,0,28,0.800305
100,0,29,0.800305
100,0,30,0.800305
100,0,31,0.800305
100,0,32,0.799214
100,0,33,0.094365
100,0,34,0.789845
100,0,35,0.165203
100,0,36,0.834799
100,0,37,0.173733
100,0,38,0.205000
100,0,39,0.195599
100,0,40,0.213826
100,0,41,0.212339
100,0,42,0.184615
100,0,43,0.399590
100,0,44,0.195000
100,0,45,0.207817
100,0,46,0.268319
100,0,47,0.693233
100,0,48,0.207418
100,0,49,0.160155
100,0,50,0.160926
100,0,51,0.271132
100,0,52,0.207890
100,0,53,0.195000
100,0,54,0.289636
100,0,55,0.111380
100,0,56,0.200000
100,0,57,0.236488
100,0,58,0.195000
100,0,59,0.373881
100,0,60,0.166857
100,0,61,-0.042901
100,0,62,0.095370
100,0,63,0.202070
100,0,64,0.721235
100,0,65,0.195000
100,0,66,0.113883
100,0,67,0.405454
100,0,68,0.232947
100,0,69,0.355395
100,0,70,0.315000
100,0,71,0.245010
100,0,72,0.202146
100,0,73,0.190000
100,0,74,0.309535
100,0,75,0.201986
100,0,76,0.154020
100,0,77,0.186710
100,0,78,0.146137
100,0,79,0.201141
100,0,80,0.291192
100,0,81,0.200000
100,0,82,0.175326
100,0,83,0.210838
100,0,84,0.195000
100,0,85,0.233793
100,0,86,0.279208
100,0,87,0.289373
100,0,88,-0.056417
100,0,89,0.268283
100,0,90,0.029204
100,0,91,0.195000
100,0,92,-0.014044
100,0,93,0.200000
100,0,94,0.205000
100,0,95,0.199926
100,0,96,0.892218
100,0,97,0.220000
100,0,98,0.472423
100,0,99,0.231667
200,0,0,0.965000
200,0,1,0.960000
200,0,2,0.960000
200,0,3,0.960000
200,0,4,0.960000
200,0,5,0.960000
200,0,6,0.960000
200,0,7,0.960000
200,0,8,0.960000
200,0,9,0.960000
200,0,10,0.960000
200,0,11,0.960000
200,0,12,0.960000
200,0,13,0.960000
200,0,14,0.960000
200,0,15,0.960000
200,0,16,0.960000
200,0,17,0.960000
200,0,18,0.955000
200,0,19,0.955000
200,0,20,0.955000
200,0,21,0.955000
200,0,22,0.955000
200,0,23,0.955000
200,0,24,0.955000
200,0,25,0.955000
200,0,26,0.955000
200,0,27,0.955000
200,0,28,0.955000
200,0,29,0.955000
200,0,30,0.955000
200,0,31,0.955000
200,0,32,0.955000
200,0,33,0.028698
200,0,34,0.210000
200,0,35,0.210000
200,0,36,0.210000
200,0,37,0.210000
200,0,38,0.955000
200,0,39,0.208004
200,0,40,0.210000
200,0,41,0.085000
200,0,42,0.886924
200,0,43,0.156636
200,0,44,0.205000
200,0,45,0.205000
200,0,46,0.205569
200,0,47,0.737296
200,0,48,0.210000
200,0,49,0.340000
200,0,50,0.200000
200,0,51,0.225605
200,0,52,0.205000
200,0,53,0.098713
200,0,54,0.165680
200,0,55,0.229224
200,0,56,0.218233
200,0,57,0.163025
200,0,58,0.259462
200,0,59,0.210000
200,0,60,0.210000
200,0,61,0.210000
200,0,62,-0.042657
200,0,63,0.451061
200,0,64,0.210000
200,0,65,0.455000
200,0,66,0.205000
200,0,67,0.037193
200,0,68,0.215000
200,0,69,0.048871
200,0,70,0.305054
200,0,71,0.205000
200,0,72,0.262548
