Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.214714
0,0,1,0.167404
0,0,2,0.200000
0,0,3,0.200000
0,0,4,0.200000
0,0,5,0.200000
0,0,6,0.182248
0,0,7,0.180151
0,0,8,0.204462
0,0,9,0.276093
0,0,10,0.202846
0,0,11,0.200000
0,0,12,0.168195
0,0,13,0.153288
0,0,14,0.535912
0,0,15,0.254901
0,0,16,0.301971
0,0,17,0.202626
0,0,18,0.092294
0,0,19,0.200000
0,0,20,0.200000
0,0,21,0.152221
0,0,22,0.174692
0,0,23,0.200000
0,0,24,0.131473
0,0,25,0.200000
0,0,26,0.023223
0,0,27,0.200000
0,0,28,0.299989
0,0,29,0.344275
0,0,30,0.207191
0,0,31,0.199904
0,0,32,0.158565
0,0,33,0.054985
0,0,34,0.200000
0,0,35,0.152202
0,0,36,0.147560
0,0,37,0.207560
0,0,38,0.200000
0,0,39,0.159432
0,0,40,0.252251
0,0,41,0.228381
0,0,42,0.113418
0,0,43,0.248999
0,0,44,0.143616
0,0,45,0.196544
0,0,46,0.200000
0,0,47,0.218496
0,0,48,0.163697
0,0,49,0.182218
0,0,50,0.200000
0,0,51,0.021754
0,0,52,0.179092
0,0,53,0.199718
0,0,54,0.202214
0,0,55,0.241533
0,0,56,0.047401
0,0,57,0.182998
0,0,58,0.106891
0,0,59,0.149208
0,0,60,0.200000
0,0,61,0.286458
0,0,62,0.200000
0,0,63,0.199543
0,0,64,0.193799
0,0,65,0.201075
0,0,66,0.178238
0,0,67,0.082208
0,0,68,0.131681
0,0,69,0.087111
0,0,70,0.265349
0,0,71,0.243786
0,0,72,0.200000
0,0,73,0.253110
0,0,74,0.224473
0,0,75,0.182794
0,0,76,0.158593
0,0,77,0.200000
0,0,78,0.194331
0,0,79,0.311758
0,0,80,0.179648
0,0,81,0.249097
0,0,82,0.212681
0,0,83,0.122306
0,0,84,0.102808
0,0,85,0.137248
0,0,86,0.178368
0,0,87,0.265329
0,0,88,0.077660
0,0,89,0.200000
0,0,90,0.117327
0,0,91,0.200000
0,0,92,0.070423
0,0,93,0.200000
0,0,94,0.288225
0,0,95,0.200000
0,0,96,0.207010
0,0,97,0.260245
0,0,98,0.223651
0,0,99,0.200000
100,0,0,0.826875
100,0,1,0.818553
100,0,2,0.816274
100,0,3,0.815757
100,0,4,0.815001
100,0,5,0.814364
100,0,6,0.814364
100,0,7,0.814364
100,0,8,0.813553
100,0,9,0.810490
100,0,10,0.809364
100,0,11,0.806732
100,0,12,0.806582
100,0,13,0.803553
100,0,14,0.803553
100,0,15,0.801588
100,0,16,0.801352
100,0,17,0.800847
100,0,18,0.800524
100,0,19,0.800480
100,0,20,0.797812
100,0,21,0.788025
100,0,22,0.784117
100,0,23,0.770622
100,0,24,0.768888
100,0,25,0.763888
100,0,26,0.757545
100,0,27,0.754280
100,0,28,0.748336
100,0,29,0.746959
100,0,30,0.743336
100,0,31,0.739941
100,0,32,0.738849
100,0,33,0.430266
100,0,34,0.536997
100,0,35,0.220000
100,0,36,0.108777
100,0,37,0.289217
100,0,38,0.118258
100,0,39,0.232867
100,0,40,0.436925
100,0,41,0.322659
100,0,42,0.449225
100,0,43,0.645324
100,0,44,0.396115
100,0,45,0.225497
100,0,46,0.215000
100,0,47,0.261881
100,0,48,0.460028
100,0,49,0.218298
100,0,50,0.118023
100,0,51,0.225000
100,0,52,0.309369
100,0,53,0.171477
100,0,54,0.210000
100,0,55,0.350000
100,0,56,0.295892
100,0,57,0.183279
100,0,58,0.279622
