Iteration,Rank,Fitness,Chromosome
19999,0,0.984996,"[['s', '-', 'crx(1,1.575781833884134)'], ['-', 'crx(0,1.5734196669999552)', 'crx(0,0.7857267661952997)'], ['h', 'h', 'h']]"
19999,1,0.984994,"[['w', '-', 'crx(1,1.570242545121319)'], ['-', 'crx(0,1.5775160926148308)', 'crx(0,0.783822451798726)'], ['h', 'h', 'h']]"
19999,2,0.984994,"[['w', '-', 'crx(1,1.5716433848279496)'], ['-', 'crx(0,1.5668891461483963)', 'crx(0,0.7907581247983817)'], ['h', 'h', 'h']]"
19999,3,0.984993,"[['w', '-', 'crx(1,1.5748587128566482)'], ['-', 'crx(0,1.5649284529614649)', 'crx(0,0.7802167066373311)'], ['h', 'h', 'h']]"
19999,4,0.984992,"[['t', '-', 'crx(1,1.5721664975842655)'], ['-', 'crx(0,1.5729818712949986)', 'crx(0,0.7769334287995305)'], ['h', 'h', 'h']]"
19999,5,0.984991,"[['w', '-', 'crx(1,1.567272512953368)'], ['-', 'crx(0,1.5641458884727013)', 'crx(0,0.7915457066319288)'], ['h', 'h', 'h']]"
19999,6,0.984991,"[['w', '-', 'crx(1,1.5723325354965134)'], ['-', 'crx(0,1.5793461503559938)', 'crx(0,0.7839352509003357)'], ['h', 'h', 'h']]"
19999,7,0.984989,"[['w', '-', 'crx(1,1.5730233397019595)'], ['-', 'crx(0,1.57728458033036)', 'crx(0,0.7780898577575305)'], ['h', 'h', 'h']]"
19999,8,0.984988,"[['w', '-', 'crx(1,1.5622166943637867)'], ['-', 'crx(0,1.5707163909443234)', 'crx(0,0.7959631703231721)'], ['h', 'h', 'h']]"
19999,9,0.984986,"[['w', '-', 'crx(1,1.5792608278256681)'], ['-', 'crx(0,1.5646972272325004)', 'crx(0,0.7858142601644171)'], ['h', 'h', 'h']]"
