Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.223341
0,0,1,0.103066
0,0,2,0.071900
0,0,3,-0.031879
0,0,4,0.004272
0,0,5,0.077398
0,0,6,0.102167
0,0,7,0.030806
0,0,8,0.111747
0,0,9,-0.023840
0,0,10,0.042370
0,0,11,0.049441
0,0,12,0.111831
0,0,13,0.012462
0,0,14,0.037845
0,0,15,0.083604
0,0,16,0.123850
0,0,17,0.130275
0,0,18,0.121631
0,0,19,0.070427
0,0,20,0.146937
0,0,21,0.056147
0,0,22,0.073311
0,0,23,0.132961
0,0,24,0.070805
0,0,25,0.206351
0,0,26,0.102493
0,0,27,0.011251
0,0,28,0.109967
0,0,29,0.012500
0,0,30,-0.014015
0,0,31,0.049357
0,0,32,0.128354
0,0,33,0.046169
0,0,34,0.062488
0,0,35,0.044182
0,0,36,0.088882
0,0,37,-0.008397
0,0,38,0.306931
0,0,39,0.073761
0,0,40,0.091234
0,0,41,-0.002730
0,0,42,0.078425
0,0,43,0.082842
0,0,44,0.106362
0,0,45,0.124198
0,0,46,0.025382
0,0,47,0.018784
0,0,48,0.087809
0,0,49,0.108069
0,0,50,0.065127
0,0,51,0.067995
0,0,52,0.072756
0,0,53,0.267948
0,0,54,-0.002508
0,0,55,0.096166
0,0,56,0.055473
0,0,57,0.073660
0,0,58,0.010650
0,0,59,0.053153
0,0,60,0.279741
0,0,61,0.071231
0,0,62,0.056162
0,0,63,-0.013245
0,0,64,0.075000
0,0,65,0.092789
0,0,66,0.070611
0,0,67,0.059659
0,0,68,0.121090
0,0,69,0.078163
0,0,70,0.066485
0,0,71,0.041783
0,0,72,0.066582
0,0,73,0.093655
0,0,74,0.095456
0,0,75,0.157329
0,0,76,0.069762
0,0,77,0.180169
0,0,78,0.142963
0,0,79,0.123819
0,0,80,0.133477
0,0,81,0.051844
0,0,82,0.023113
0,0,83,0.098176
0,0,84,0.151899
0,0,85,-0.033827
0,0,86,0.105447
0,0,87,0.073441
0,0,88,0.131379
0,0,89,0.097550
0,0,90,0.027068
0,0,91,0.117580
0,0,92,0.101681
0,0,93,0.082657
0,0,94,0.075000
0,0,95,0.111247
0,0,96,0.257512
0,0,97,0.075000
0,0,98,0.063342
0,0,99,0.147299
100,0,0,0.663414
100,0,1,0.661341
100,0,2,0.626470
100,0,3,0.605592
100,0,4,0.605225
100,0,5,0.604599
100,0,6,0.600093
100,0,7,0.590554
100,0,8,0.589413
100,0,9,0.587300
100,0,10,0.584013
100,0,11,0.582612
100,0,12,0.577862
100,0,13,0.576881
100,0,14,0.576721
100,0,15,0.571751
100,0,16,0.569214
100,0,17,0.568023
100,0,18,0.565553
100,0,19,0.561374
100,0,20,0.547244
100,0,21,0.540258
100,0,22,0.538487
100,0,23,0.538309
100,0,24,0.531542
100,0,25,0.527130
100,0,26,0.519399
100,0,27,0.506380
100,0,28,0.504053
100,0,29,0.503883
100,0,30,0.502347
100,0,31,0.498959
100,0,32,0.497254
100,0,33,0.200000
100,0,34,0.192772
100,0,35,0.308790
100,0,36,0.089422
100,0,37,0.086013
100,0,38,0.196643
100,0,39,0.119501
100,0,40,0.170373
100,0,41,0.217082
100,0,42,0.116250
100,0,43,0.160864
100,0,44,0.212325
100,0,45,0.226575
100,0,46,0.171723
100,0,47,0.218973
100,0,48,0.206395
100,0,49,0.100166
100,0,50,0.074073
100,0,51,0.164034
100,0,52,0.122320
100,0,53,0.092470
100,0,54,0.205000
100,0,55,0.029945
100,0,56,0.186299
100,0,57,0.210812
100,0,58,0.037070
100,0,59,0.053267
100,0,60,0.072236
100,0,61,0.260476
100,0,62,0.121250
100,0,63,0.147500
100,0,64,0.075759
100,0,65,0.053489
100,0,66,0.074782
100,0,67,0.097942
100,0,68,0.261188
100,0,69,0.122748
100,0,70,0.101126
100,0,71,0.192550
100,0,72,0.613830
100,0,73,0.097685
100,0,74,0.055840
100,0,75,0.037107
100,0,76,-0.022035
100,0,77,0.377241
100,0,78,0.325356
100,0,79,0.384433
100,0,80,-0.002232
100,0,81,0.458232
100,0,82,0.166763
100,0,83,0.113081
100,0,84,0.211906
100,0,85,0.083567
100,0,86,0.203099
100,0,87,0.126535
100,0,88,0.130541
100,0,89,0.199703
100,0,90,0.180574
100,0,91,0.145883
100,0,92,0.086443
100,0,93,0.103494
100,0,94,0.091899
100,0,95,0.326976
100,0,96,0.137559
100,0,97,0.230680
100,0,98,0.114847
100,0,99,0.080179
200,0,0,0.663414
200,0,1,0.661341
200,0,2,0.632241
200,0,3,0.628713
200,0,4,0.626470
200,0,5,0.620299
200,0,6,0.619864
200,0,7,0.613830
200,0,8,0.605592
200,0,9,0.605225
200,0,10,0.605074
200,0,11,0.604599
200,0,12,0.604032
200,0,13,0.600876
200,0,14,0.600093
200,0,15,0.598233
200,0,16,0.595902
200,0,17,0.593530
