Rank,Fitness,Chromosome
0,0.979994,"[['w', 'w', 'crx(1,1.5633907669947553)'], ['w', 'h', 'h'], ['-', 'crz(0,1.5735566899763935)', 'cp(0,0.7893623503104826)'], ['h', 'w', 'w']]"
1,0.979990,"[['cz(1)', '-', 'crx(1,1.571406541130352)'], ['w', 'h', 'h'], ['-', 'crz(0,1.5790869160865855)', 'cp(0,0.7886192275686787)'], ['h', 'w', 'w']]"
2,0.979990,"[['t', '-', 'crx(1,1.564455409009564)'], ['w', 'h', 'h'], ['-', 'crz(0,1.564592957438143)', 'cp(0,0.78497228087017)'], ['h', 'w', 'w']]"
3,0.979986,"[['w', 'w', 'crx(1,1.572701231180077)'], ['w', 'h', 'h'], ['-', 'crz(0,1.564426892306893)', 'cp(0,0.7760372809593887)'], ['h', 'w', 'w']]"
4,0.979986,"[['cz(1)', '-', 'crx(1,1.5584077144125745)'], ['rz(0.7192943780622073)', 'h', 'h'], ['-', 'crz(0,1.570498437919298)', 'cp(0,0.7914995358455531)'], ['h', '-', 'swap(1)']]"
5,0.979984,"[['-', 'crz(0,0.577373044702397)', 'crx(1,1.569835570727772)'], ['w', 'h', 'h'], ['-', 'crz(0,1.5819792535725676)', 'cp(0,0.7837274659568899)'], ['h', 'w', 'w']]"
6,0.979981,"[['t', '-', 'crx(1,1.5756248196746991)'], ['w', 'h', 'h'], ['-', 'crz(0,1.5606886511878242)', 'cp(0,0.7769871074208196)'], ['h', 'w', 'w']]"
7,0.979979,"[['-', 'cz(0)', 'crx(1,1.5625901535665208)'], ['t', 'h', 'h'], ['-', 'crz(0,1.5768847559687145)', 'cp(0,0.7804909936964228)'], ['h', 'w', 'w']]"
8,0.979979,"[['-', 'cz(0)', 'crx(1,1.5714139689607483)'], ['w', 'h', 'h'], ['-', 'crz(0,1.5609152072899433)', 'cp(0,0.7936709393254415)'], ['h', 'w', 'w']]"
9,0.979976,"[['t', '-', 'crx(1,1.5737260743081531)'], ['t', 'h', 'h'], ['-', 'crz(0,1.583614752107951)', 'cp(0,0.788094814688791)'], ['h', 'w', 'w']]"
