Rank,Fitness,Chromosome
0,0.928132,"[['-', 'crx(0,1.5095129183127345)', 'cp(0,0.5876733322445072)'], ['h', 'w', 'h'], ['-', 'rxx(0,0.553137414168357)', 'crz(1,0.8201042954958357)'], ['w', 'h', 't'], ['crx(2,0.9149866789831528)', 'cry(2,0.5700782077898588)', '-'], ['crx(1,1.0914254109310462)', '-', 'w']]"
1,0.927085,"[['sdg', 'crx(0,1.5523780396554823)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.6389776294156965)', 'crz(1,0.9562245084883101)'], ['x', 'h', 't'], ['crx(2,0.6814341050179658)', 'cry(2,0.5250943539821535)', '-'], ['crx(1,1.0493912463969357)', '-', 'w']]"
2,0.925568,"[['-', 'crx(0,1.7791386593224126)', 't'], ['h', 'w', 'h'], ['-', 'rxx(0,0.6188067692221623)', 'crz(1,0.9248767335814349)'], ['x', 'h', 't'], ['crx(2,0.9056684115585227)', 'cry(2,0.7010058541993475)', '-'], ['crx(1,0.8513920696161608)', '-', 'w']]"
3,0.924881,"[['w', 'crx(0,1.581081916635728)', 't'], ['h', 'w', 'h'], ['-', 'rxx(0,0.6198458561062352)', 'crz(1,1.025903566348418)'], ['x', 'h', 't'], ['crx(2,0.8402851245217436)', 'cry(2,0.5425354187431246)', '-'], ['crx(1,0.9603216298271651)', '-', 'w']]"
4,0.924400,"[['-', 'crx(0,1.425276489843563)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.4527197530069781)', 'crz(1,0.8391329289885775)'], ['x', 'h', 't'], ['crx(2,0.9632543423312565)', 'cry(2,0.6082135744333814)', '-'], ['crx(1,1.013718529646944)', '-', 'w']]"
5,0.924308,"[['w', 'crx(0,1.4835227532696358)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.5244820451536296)', 'crz(1,0.948906455680791)'], ['x', 'h', 't'], ['crx(2,0.8728951095579298)', 'cry(2,0.5594479925616714)', '-'], ['crx(1,0.9014325965201231)', '-', 'w']]"
6,0.924256,"[['-', 'crx(0,1.5609723693407058)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.49629580995040656)', 'crz(1,0.7311006606411509)'], ['x', 'h', 't'], ['crx(2,0.7077885256815901)', 'cry(2,0.5704234521185754)', '-'], ['crx(1,1.032573404583443)', '-', 'w']]"
7,0.923662,"[['s', 'crx(0,1.5913549680274774)', 'sdg'], ['h', 'w', 'h'], ['-', 'rxx(0,0.49107809970438027)', 'crz(1,0.9237987712129829)'], ['w', 'h', 't'], ['crx(2,0.7547638333732479)', 'cry(2,0.4334611565446399)', '-'], ['crx(1,1.0325643727203488)', '-', 'w']]"
8,0.923548,"[['s', 'crx(0,1.5894618221120282)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.6262949791663605)', 'crz(1,0.745365957890906)'], ['w', 'h', 't'], ['crx(2,0.9711745451785002)', 'cry(2,0.5585815632569175)', '-'], ['crx(1,1.0366178834133364)', '-', 'w']]"
9,0.922925,"[['s', 'crx(0,1.4971735689514782)', 'w'], ['h', 'w', 'h'], ['-', 'rxx(0,0.5693084525533971)', 'crz(1,0.8016049089616578)'], ['x', 'h', 't'], ['crx(2,0.599914937996337)', 'cry(2,0.4412259902675105)', '-'], ['crx(1,1.1096515628961454)', '-', 'w']]"
