Rank,Fitness,Chromosome
0,0.979976,"[['w', '-', 'crx(1,1.5664239024619595)'], ['-', 'crx(0,1.582378356842015)', 'h'], ['h', 'h', 'rz(0.3991760436361743)'], ['crx(2,0.780602098147508)', 'w', '-']]"
1,0.979966,"[['t', '-', 'crx(1,1.5875489681887718)'], ['-', 'crx(0,1.5696315747600376)', 'h'], ['h', 'h', 'rz(0.3922957276267083)'], ['crx(2,0.7877627073288034)', 'w', 'w']]"
2,0.979952,"[['tdg', '-', 'crx(1,1.5774719344719832)'], ['-', 'crx(0,1.5702829971073233)', 'h'], ['h', 'h', 'rz(0.39430814819808246)'], ['crx(2,0.7605233773126451)', 'w', '-']]"
3,0.979940,"[['w', '-', 'crx(1,1.5564437385496015)'], ['-', 'crx(0,1.5874165506383715)', 'h'], ['h', 'h', 'rz(0.39285204159095666)'], ['crx(2,0.7861725046094571)', 'w', '-']]"
4,0.979938,"[['tdg', '-', 'crx(1,1.5572808786341132)'], ['-', 'crx(0,1.5891159318923056)', 'h'], ['h', 'h', 'rz(0.39406388010022364)'], ['crx(2,0.7813602785429569)', 'w', '-']]"
5,0.979935,"[['w', '-', 'crx(1,1.54862142279681)'], ['-', 'crx(0,1.5634329513826912)', 'h'], ['h', 'h', 'rz(0.4141906760440828)'], ['crx(2,0.7858070555036585)', 'w', '-']]"
6,0.979924,"[['w', '-', 'crx(1,1.5474932520458298)'], ['-', 'crx(0,1.5858428601108607)', 'h'], ['h', 'h', 'rz(0.39872572767261266)'], ['crx(2,0.7756518265192692)', 'w', '-']]"
7,0.979922,"[['tdg', '-', 'crx(1,1.5465257930743288)'], ['-', 'crx(0,1.5785639277960657)', 'h'], ['h', 'h', 'rz(0.4151930369533375)'], ['crx(2,0.7745769170982789)', 'w', '-']]"
8,0.979915,"[['w', '-', 'crx(1,1.6051630436354924)'], ['-', 'crx(0,1.5675555009503566)', 'h'], ['h', 'h', 'rz(0.3759825286180076)'], ['crx(2,0.7979396224422578)', 'w', '-']]"
9,0.979912,"[['w', '-', 'crx(1,1.5980089558095514)'], ['-', 'crx(0,1.563246836689033)', 'h'], ['h', 'h', 'rz(0.3903109355708098)'], ['crx(2,0.7786922458548259)', 'w', '-']]"
