Rank,Fitness,Chromosome
0,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'rz(0.6286441316805396)'], ['w', 'h']]"
1,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'rz(0.6286441316805396)'], ['w', 'h']]"
2,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'rz(0.28411432504779477)'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h'], ['w', 'w']]"
3,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'rz(1,0.23461670371923463)'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h']]"
4,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h'], ['w', 'w']]"
5,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h'], ['w', 'w']]"
6,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h'], ['w', 'w']]"
7,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h'], ['w', 'w']]"
8,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h']]"
9,1.000000,"[['-', 'crx(0,2.4331024426849437)'], ['cy(1)', '-'], ['-', 'cy(0)'], ['h', 't'], ['w', 'w'], ['crz(1,0.8605246955091728)', '-'], ['w', 'h']]"
