Iteration,Run,ChromosomeIndex,Fitness
0,0,0,0.250000
0,0,1,0.290778
0,0,2,0.250000
0,0,3,0.309479
0,0,4,0.253124
0,0,5,0.256945
0,0,6,0.200955
0,0,7,0.245925
0,0,8,0.250000
0,0,9,0.357240
0,0,10,0.375000
0,0,11,0.250000
0,0,12,0.250000
0,0,13,0.198843
0,0,14,0.211465
0,0,15,0.161612
0,0,16,0.201334
0,0,17,0.250000
0,0,18,0.250000
0,0,19,0.305064
0,0,20,0.254889
0,0,21,0.199794
0,0,22,0.267873
0,0,23,0.164774
0,0,24,0.298973
0,0,25,0.326145
0,0,26,0.375000
0,0,27,0.538338
0,0,28,0.300973
0,0,29,0.311269
0,0,30,0.291106
0,0,31,0.342076
0,0,32,0.258550
0,0,33,0.240815
0,0,34,0.248100
0,0,35,0.256859
0,0,36,0.082383
0,0,37,0.250000
0,0,38,0.334439
0,0,39,0.333040
0,0,40,0.245969
0,0,41,0.206564
0,0,42,0.157524
0,0,43,0.316529
0,0,44,0.253699
0,0,45,0.250000
0,0,46,0.293487
0,0,47,0.400158
0,0,48,0.296160
0,0,49,0.157836
0,0,50,0.167862
0,0,51,0.309521
0,0,52,0.229018
0,0,53,0.375000
0,0,54,0.267547
0,0,55,0.250000
0,0,56,0.250000
0,0,57,0.250000
0,0,58,0.339975
0,0,59,0.464934
0,0,60,0.350714
0,0,61,0.278439
0,0,62,0.390274
0,0,63,0.232214
0,0,64,0.331243
0,0,65,0.299854
0,0,66,0.201539
0,0,67,0.193133
0,0,68,0.227399
0,0,69,0.250000
0,0,70,0.250000
0,0,71,0.288406
0,0,72,0.271830
0,0,73,0.250000
0,0,74,0.240060
0,0,75,0.328741
0,0,76,0.174539
0,0,77,0.243692
0,0,78,0.250000
0,0,79,0.250000
0,0,80,0.189483
0,0,81,0.262218
0,0,82,0.226493
0,0,83,0.250000
0,0,84,0.250000
0,0,85,0.197486
0,0,86,0.170367
0,0,87,0.346037
0,0,88,0.225698
0,0,89,0.179463
0,0,90,0.201170
0,0,91,0.182804
0,0,92,0.269805
0,0,93,0.263905
0,0,94,0.250000
0,0,95,0.213543
0,0,96,0.329043
0,0,97,0.250000
0,0,98,0.283654
0,0,99,0.183757
100,0,0,0.959368
100,0,1,0.901829
100,0,2,0.901746
100,0,3,0.881016
100,0,4,0.865942
100,0,5,0.863584
100,0,6,0.862782
100,0,7,0.859947
100,0,8,0.859688
100,0,9,0.855949
100,0,10,0.853696
100,0,11,0.853313
100,0,12,0.849950
100,0,13,0.849009
100,0,14,0.848472
100,0,15,0.847857
100,0,16,0.843308
100,0,17,0.843136
100,0,18,0.841706
100,0,19,0.835955
100,0,20,0.834695
100,0,21,0.831419
100,0,22,0.829221
100,0,23,0.826759
100,0,24,0.825996
100,0,25,0.824666
100,0,26,0.824293
100,0,27,0.817616
100,0,28,0.816193
100,0,29,0.810492
100,0,30,0.810204
100,0,31,0.809320
100,0,32,0.808572
100,0,33,0.301534
100,0,34,0.265586
100,0,35,0.399840
100,0,36,0.142813
100,0,37,0.529376
100,0,38,0.426736
100,0,39,0.174595
