Iteration,Rank,Fitness,Chromosome
1999,0,1.000000,"[['cx(1,0)', '-'], ['w', '-'], ['s(0)', 'h(1)'], ['ryy(1,0,0.7853913360858239)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,1,1.000000,"[['cx(1,0)', '-'], ['w', 'h(1)'], ['ryy(1,0,0.7853051800273769)', '-'], ['cz(1,0)', '-'], ['w', '-'], ['h(0)', '-'], ['tdg(0)', 'w']]"
1999,2,1.000000,"[['cy(1,0)', '-'], ['w', '-'], ['w', 'h(1)'], ['ryy(1,0,0.7855387050677556)', '-'], ['h(0)', 'w'], ['-', 'w'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,3,1.000000,"[['cx(1,0)', '-'], ['-', 'tdg(1)'], ['w', 'h(1)'], ['ryy(1,0,0.7856064329297962)', '-'], ['cz(1,0)', '-'], ['w', '-'], ['h(0)', '-'], ['tdg(0)', 'w']]"
1999,4,1.000000,"[['cx(1,0)', '-'], ['w', 'h(1)'], ['ryy(1,0,0.7856426904581437)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['-', 'w'], ['tdg(0)', 'w']]"
1999,5,1.000000,"[['cx(1,0)', '-'], ['z(0)', 'rz(1,0.5055516117598536)'], ['s(0)', 'h(1)'], ['ryy(1,0,0.7851467448940158)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,6,1.000000,"[['cx(1,0)', '-'], ['w', '-'], ['s(0)', 'h(1)'], ['ryy(1,0,0.7856668238383916)', '-'], ['h(0)', 'w'], ['-', 'w'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,7,1.000000,"[['cx(1,0)', '-'], ['-', 'tdg(1)'], ['w', 'h(1)'], ['ryy(1,0,0.785693331418769)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,8,1.000000,"[['cx(1,0)', '-'], ['w', '-'], ['w', 'h(1)'], ['ryy(1,0,0.7850916326509251)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
1999,9,1.000000,"[['cx(1,0)', '-'], ['rz(0,0.7314779570371717)', '-'], ['w', 'h(1)'], ['ryy(1,0,0.7857101640318457)', '-'], ['h(0)', 'w'], ['w', '-'], ['cx(1,0)', '-'], ['tdg(0)', 'w']]"
