Parameter Set,Final EA Max Fitness
pmr0.1_gmr0.3_lmr0.2_mpm0.1_ldr0.03,0.303932
pmr0.1_gmr0.3_lmr0.2_mpm0.2_ldr0.03,0.349884
pmr0.1_gmr0.3_lmr0.2_mpm0.3_ldr0.03,0.330366
pmr0.1_gmr0.3_lmr0.2_mpm0.4_ldr0.03,0.302134
pmr0.1_gmr0.3_lmr0.3_mpm0.1_ldr0.03,0.332594
pmr0.1_gmr0.3_lmr0.3_mpm0.2_ldr0.03,0.300141
pmr0.1_gmr0.3_lmr0.3_mpm0.3_ldr0.03,0.331783
pmr0.1_gmr0.3_lmr0.3_mpm0.4_ldr0.03,0.299347
