Iteration,Random_Max,Random_Avg
265,0.358633,0.125898
266,0.358633,0.131312
267,0.358633,0.129089
268,0.358633,0.131292
269,0.358633,0.131137
270,0.358633,0.130163
271,0.358633,0.132980
272,0.358633,0.126014
273,0.358633,0.124435
274,0.358633,0.128414
275,0.358633,0.125992
276,0.358633,0.127815
277,0.358633,0.128292
278,0.358633,0.131042
279,0.358633,0.130282
280,0.358633,0.132512
281,0.358633,0.130090
282,0.358633,0.129904
283,0.358633,0.130510
284,0.358633,0.128083
285,0.358633,0.129060
286,0.358633,0.126570
287,0.358633,0.127947
288,0.358633,0.131484
289,0.358633,0.126539
290,0.358633,0.129542
291,0.358633,0.128647
292,0.358633,0.130029
293,0.358633,0.131053
294,0.358998,0.130946
295,0.358998,0.130785
296,0.358998,0.127966
297,0.358998,0.129433
298,0.358998,0.130099
299,0.358998,0.134626
300,0.358998,0.131453
301,0.358998,0.126882
302,0.358998,0.129993
303,0.358998,0.129030
304,0.358998,0.127822
305,0.358998,0.130295
306,0.358998,0.130536
307,0.358998,0.130547
308,0.358998,0.127383
309,0.358998,0.126316
310,0.358998,0.129329
311,0.358998,0.128158
312,0.358998,0.131104
313,0.358998,0.129453
314,0.358998,0.128892
315,0.358998,0.128205
316,0.358998,0.128821
317,0.358998,0.127036
318,0.358998,0.128417
319,0.358998,0.124995
320,0.358998,0.125944
321,0.358998,0.129940
322,0.358998,0.125982
323,0.358998,0.125522
324,0.358998,0.131834
325,0.358998,0.129375
326,0.358998,0.127496
327,0.361927,0.129719
328,0.361927,0.130851
329,0.361927,0.131390
330,0.361927,0.128888
331,0.361927,0.131370
332,0.361927,0.132261
333,0.361927,0.130533
334,0.361927,0.128783
335,0.361927,0.131250
336,0.361927,0.128176
337,0.361927,0.125800
338,0.361927,0.130234
339,0.361927,0.127935
340,0.361927,0.129712
341,0.361927,0.129916
342,0.361927,0.130033
343,0.361927,0.125183
344,0.361927,0.126710
345,0.361927,0.129196
346,0.361927,0.125085
347,0.361927,0.131874
348,0.361927,0.131554
349,0.361927,0.131273
350,0.361927,0.130740
351,0.361927,0.133166
352,0.361927,0.131716
353,0.361927,0.131088
354,0.361927,0.124854
355,0.361927,0.130200
356,0.361927,0.131063
357,0.361927,0.128308
358,0.361927,0.125933
359,0.361927,0.129174
360,0.361927,0.127468
361,0.361927,0.125449
362,0.361927,0.130038
363,0.361927,0.129022
364,0.361927,0.128335
365,0.361927,0.131761
366,0.361927,0.126352
367,0.361927,0.131812
368,0.361927,0.132806
369,0.361927,0.128002
370,0.361927,0.126473
371,0.361927,0.129481
372,0.361927,0.126405
373,0.361927,0.128880
374,0.361927,0.130956
375,0.361927,0.127252
376,0.361927,0.129641
377,0.361927,0.132156
378,0.361927,0.129313
379,0.361927,0.128226
380,0.361927,0.130158
381,0.361927,0.126036
382,0.361927,0.128904
383,0.361927,0.126973
384,0.361927,0.122724
385,0.361927,0.126977
386,0.361927,0.132892
387,0.361927,0.133224
388,0.361927,0.129620
389,0.361927,0.130003
390,0.361927,0.129744
391,0.361927,0.130290
392,0.361927,0.131050
393,0.361927,0.129223
394,0.361927,0.128390
395,0.361927,0.128122
396,0.361927,0.128781
397,0.361927,0.126260
398,0.361927,0.126169
399,0.361927,0.127691
400,0.361927,0.129129
401,0.361927,0.128350
402,0.361927,0.125055
403,0.361927,0.127627
404,0.361927,0.127976
405,0.361927,0.126939
406,0.361927,0.128411
407,0.361927,0.128339
408,0.361927,0.126557
409,0.361927,0.129063
410,0.361927,0.124122
411,0.361927,0.127671
412,0.361927,0.131327
413,0.361927,0.125788
414,0.361927,0.126247
415,0.361927,0.130711
416,0.361927,0.129165
417,0.361927,0.126556
418,0.361927,0.128992
419,0.361927,0.131590
420,0.366161,0.129010
421,0.366161,0.128637
422,0.366161,0.129704
423,0.366161,0.126417
424,0.366161,0.127742
425,0.366161,0.129831
426,0.366161,0.126127
427,0.366161,0.125686
428,0.366161,0.128546
429,0.366161,0.127683
430,0.366161,0.127589
431,0.366161,0.124928
432,0.366161,0.133371
433,0.366161,0.130216
434,0.366161,0.128246
435,0.366161,0.130462
436,0.366161,0.128843
437,0.366161,0.126809
438,0.366161,0.128502
439,0.366161,0.126632
440,0.367219,0.129697
441,0.367219,0.130873
442,0.367219,0.128034
443,0.367219,0.132271
444,0.367219,0.126977
445,0.367219,0.129927
446,0.367219,0.127969
447,0.369093,0.129157
448,0.369093,0.125242
449,0.369093,0.130102
450,0.369093,0.129118
451,0.369093,0.129262
452,0.369093,0.128218
453,0.369093,0.128293
454,0.369093,0.132084
455,0.369093,0.127951
456,0.369093,0.131189
457,0.369093,0.132386
458,0.369093,0.125834
459,0.369093,0.129424
460,0.369093,0.130695
461,0.369093,0.127818
462,0.369093,0.132377
463,0.369093,0.127258
464,0.369093,0.127728
465,0.369093,0.129126
466,0.369093,0.126815
467,0.369093,0.129121
468,0.369093,0.129793
469,0.369093,0.127974
470,0.369093,0.129004
471,0.369093,0.128302
472,0.369093,0.128319
473,0.369093,0.128436
474,0.369093,0.131935
475,0.369093,0.129419
476,0.369093,0.127399
477,0.369093,0.126594
478,0.369093,0.127843
479,0.369093,0.127860
480,0.369093,0.129667
481,0.369093,0.125466
482,0.369093,0.131581
483,0.369093,0.133156
484,0.369093,0.128068
485,0.369093,0.132336
486,0.369093,0.127639
487,0.369093,0.129145
488,0.369093,0.131790
489,0.369093,0.133449
490,0.369093,0.131385
491,0.369093,0.131414
492,0.369093,0.129757
493,0.369093,0.131405
494,0.369093,0.127801
495,0.369093,0.129427
496,0.369093,0.129559
497,0.369093,0.127963
498,0.369093,0.127584
