Iteration,Rank,Fitness,Chromosome
1999,0,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'tdg(1)']]"
1999,1,0.964914,"[['-', 'w'], ['rz(0, 0.33618382016127757)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'sdg(1)'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'sdg(1)'], ['w', 'tdg(1)']]"
1999,2,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'tdg(1)']]"
1999,3,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['-', 'tdg(1)']]"
1999,4,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['-', 'tdg(1)']]"
1999,5,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'tdg(1)']]"
1999,6,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['-', 'tdg(1)']]"
1999,7,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'tdg(1)']]"
1999,8,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['-', 'tdg(1)']]"
1999,9,0.964914,"[['t(0)', 'x(1)'], ['sdg(0)', 'h(1)'], ['w', 't(1)'], ['cy(1,0)', '-'], ['swap(1,0)', '-'], ['h(0)', 'w'], ['-', 's(1)'], ['cy(1,0)', '-'], ['-', 'sdg(1)'], ['w', 'tdg(1)']]"
