Rank,Fitness,Chromosome
0,0.997001,"[['-', 'cry(0,1.567292111165698)'], ['cx(1)', '-'], ['-', 'cx(0)'], ['w', 'h'], ['s', '-'], ['ry(1.474107179431988)', 'w'], ['ry(0.10011240972991386)', '-'], ['-', 'w']]"
1,0.997001,"[['-', 'cry(0,1.575608936946623)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['-', 's'], ['-', 'rz(0.6297969051150689)'], ['ry(1.4252986432526702)', 'h'], ['ry(0.14810460184668642)', '-']]"
2,0.997000,"[['-', 'cry(0,1.575487048399943)'], ['cx(1)', '-'], ['-', 'cx(0)'], ['w', 'h'], ['s', '-'], ['ry(1.4931326533722737)', 'w'], ['ry(0.07385948893978364)', '-'], ['-', 'w']]"
3,0.996999,"[['-', 'cry(0,1.5733625137797507)'], ['cx(1)', '-'], ['-', 'cx(0)'], ['w', 'h'], ['s', '-'], ['ry(1.5022082005989486)', 'w'], ['ry(0.0628252196258834)', '-'], ['-', 'w']]"
4,0.996999,"[['-', 'cry(0,1.5662407303568409)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['w', '-'], ['ry(1.1511846045538965)', 'h'], ['-', 'w'], ['ry(0.41519422271373285)', '-'], ['-', 'w']]"
5,0.996997,"[['-', 'cry(0,1.5645977434568352)'], ['cx(1)', '-'], ['-', 'cx(0)'], ['w', 'h'], ['s', '-'], ['ry(1.4598025559311858)', 'w'], ['ry(0.10669859460148332)', '-'], ['-', 'w']]"
6,0.996997,"[['-', 'cry(0,1.5638084907292689)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['-', 's'], ['-', 'rz(0.9526090994201589)'], ['ry(1.5467463437849216)', 'h'], ['ry(0.027235299260035595)', '-'], ['w', 'w']]"
7,0.996997,"[['-', 'cry(0,1.5642998347701205)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['-', 's'], ['-', 'rz(0.8576417772719755)'], ['ry(1.1747665005439596)', 'h'], ['ry(0.3916906248978126)', '-']]"
8,0.996996,"[['-', 'cry(0,1.5680053436658437)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['-', 's'], ['-', 'rz(0.9579909378133391)'], ['ry(1.5591705864999448)', 'h'], ['ry(0.019408031613945824)', '-'], ['w', 'w']]"
9,0.996995,"[['-', 'cry(0,1.579055731151678)'], ['cx(1)', '-'], ['s', '-'], ['-', 'cx(0)'], ['cry(1,0,0.4367083129589848)', '-'], ['ry(1.4543496254423105)', 'h'], ['-', 'w'], ['ry(0.11361710160741219)', '-'], ['-', 'w']]"
