Iteration,Rank,Fitness,Chromosome
1999,0,0.954503,"[['-', 'w'], ['ryy(1,0,1.575848058795438)', '-'], ['w', 'ry(1,0.7860927341166238)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,1,0.954492,"[['-', 'w'], ['ryy(1,0,1.5725970778293497)', '-'], ['w', 'ry(1,0.7936920902810457)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,2,0.954492,"[['-', 'w'], ['ryy(1,0,1.5716230341359396)', '-'], ['w', 'ry(1,0.7769440127411977)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w'], ['swap(1,0)', '-']]"
1999,3,0.954487,"[['-', 'w'], ['ryy(1,0,1.5694878653428328)', '-'], ['w', 'ry(1,0.7950589912256366)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,4,0.954483,"[['-', 'w'], ['ryy(1,0,1.565578521034264)', '-'], ['w', 'ry(1,0.776292678748701)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w'], ['w', '-']]"
1999,5,0.954429,"[['-', 'w'], ['ryy(1,0,1.5820394666999473)', '-'], ['w', 'ry(1,0.8000550337311092)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,6,0.954423,"[['-', 'w'], ['ryy(1,0,1.5529798775185524)', '-'], ['w', 'ry(1,0.7784006098625686)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,7,0.954421,"[['-', 'w'], ['ryy(1,0,1.5549226862088934)', '-'], ['w', 'ry(1,0.796448890862035)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,8,0.954420,"[['-', 'w'], ['ryy(1,0,1.5857261208463196)', '-'], ['w', 'ry(1,0.7729467258446703)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w']]"
1999,9,0.954409,"[['-', 'w'], ['ryy(1,0,1.5893908259210485)', '-'], ['w', 'ry(1,0.7944606028955418)'], ['w', 'y(1)'], ['cy(1,0)', '-'], ['-', 'cz(0,1)'], ['h(0)', 'w'], ['tdg(0)', '-'], ['z(0)', 'w'], ['swap(1,0)', '-']]"
